,index,author,viaf_author_uri,title,downloads,date,gutenberg_id,genre,source
60,1998,"Anderson, Poul",,Security,77,date?,22239,fic,gutenberg
61,3888,"Anderson, Poul",,"Sentiment, Inc.",103,date?,37653,fic,gutenberg
62,4170,"Anderson, Poul",,The Chapter Ends,152,date?,41064,fic,gutenberg
63,3110,"Anderson, Poul",,The Sensitive Man,98,date?,31501,fic,gutenberg
64,2820,"Anderson, Poul",,The Valor of Cappen Varra,110,date?,29542,fic,gutenberg
65,787,"Anderson, Sherwood",,Marching Men,17,date?,7045,fic,gutenberg
66,806,"Anderson, Sherwood",,Poor White: A Novel,38,date?,7414,fic,gutenberg
67,789,"Anderson, Sherwood",,"Triumph of the Egg, and Other Stories",38,date?,7048,fic,gutenberg
68,809,"Anderson, Sherwood",,Windy McPherson's Son,19,date?,7443,fic,gutenberg
69,2091,"Anderson, Sherwood",,"Winesburg, Ohio",14,date?,22949,fic,gutenberg
70,66,"Anderson, Sherwood",,"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life",255,date?,416,fic,gutenberg
71,4333,"Andreyev, Leonid",,Satan's Diary,56,date?,42665,fic,gutenberg
72,649,"Andreyev, Leonid",,"The Crushed Flower, and Other Stories",43,date?,5779,fic,gutenberg
73,754,"Andreyev, Leonid",,The Seven Who Were Hanged,33,date?,6722,fic,gutenberg
74,421,"Angellotti, Marion Polk",,The Firefly of France,7,date?,3676,fic,gutenberg
75,3927,"Apostolides, Alex",,We're Civilized!,27,date?,38287,fic,gutenberg
76,4320,"Applin, Arthur",,Blackthorn Farm,3,date?,42519,fic,gutenberg
77,2775,"Archibald, Joe",,Operation Earthworm,59,date?,29303,fic,gutenberg
78,1684,"Aris, Ernest A. (Ernest Alfred)",,Wee Peter Pug: The Story of a Bit of Mischief and What Came of It,5,date?,18760,fic,gutenberg
79,4101,"Arlen, Michael",,The London Venture,11,date?,40375,fic,gutenberg
80,4574,"Arlen, Michael",,The Romantic Lady,16,date?,46217,fic,gutenberg
81,3227,"Arr, Stephen",,Chain of Command,14,date?,32160,fic,gutenberg
82,3356,"Arr, Stephen",,Mr. President,13,date?,32719,fic,gutenberg
83,2833,"Arthur, Robert",,The Aggravation of Elmer,37,date?,29618,fic,gutenberg
84,2167,"Arthur, Robert",,The Indulgence of Negu Mah,35,date?,23688,fic,gutenberg
85,925,"Artsybashev, M. (Mikhail)",,Sanine,13,date?,9051,fic,gutenberg
86,2972,"Ashwell, Pauline",,The Lost Kafoozalum,58,date?,30427,fic,gutenberg
87,3116,"Asimov, Isaac",,Youth,1181,date?,31547,fic,gutenberg
88,3651,"Austin, Anne",,Girl Alone,21,date?,35077,fic,gutenberg
89,1755,"Austin, Anne",,Murder at Bridge,26,date?,19403,fic,gutenberg
90,2104,"Austin, Anne",,Murder at Bridge,32,date?,23078,fic,gutenberg
91,3950,"Austin, Mary Hunter",,A Woman of Genius,20,date?,38592,fic,gutenberg
92,3693,"Austin, Mary Hunter",,The Basket Woman: A Book of Indian Tales for Children,17,date?,35502,fic,gutenberg
93,1835,"Austin, Mary Hunter",,The Lovely Lady,12,date?,20359,fic,gutenberg
94,980,"Austin, Mary Hunter",,The Trail Book,21,date?,9913,fic,gutenberg
95,3776,"Avery, Harold",,"Gunpowder Treason and Plot, and Other Stories for Boys",9,date?,36341,fic,gutenberg
96,3502,"Avery, Harold",,"Highway Pirates; or, The Secret Place at Coverthorne",7,date?,33680,fic,gutenberg
97,2795,"Avery, Harold",,Soldiers of the Queen,5,date?,29415,fic,gutenberg
98,993,"Avery, Harold",,"The Triple Alliance, Its Trials and Triumphs",18,date?,10027,fic,gutenberg
99,3076,"Avery, Harold",,Under Padlock and Seal,9,date?,31231,fic,gutenberg
100,3233,"Aycock, Roger D.",,Assignment's End,34,date?,32209,fic,gutenberg
101,3234,"Aycock, Roger D.",,Clean Break,34,date?,32212,fic,gutenberg
102,2320,"Aycock, Roger D.",,Control Group,25,date?,24949,fic,gutenberg
103,3259,"Aycock, Roger D.",,Pet Farm,36,date?,32344,fic,gutenberg
104,3520,"Aycock, Roger D.",,Problem on Balak,31,date?,33839,fic,gutenberg
105,3338,"Aycock, Roger D.",,The Anglers of Arz,40,date?,32665,fic,gutenberg
106,3126,"Aycock, Roger D.",,To Remember Charlie By,24,date?,31599,fic,gutenberg
107,2109,"Aycock, Roger D.",,Traders Risk,34,date?,23103,fic,gutenberg
108,4283,"Ayres, Ruby M. (Ruby Mildred)",,A Bachelor Husband,45,date?,42085,fic,gutenberg
109,3026,"Ayres, Ruby M. (Ruby Mildred)",,The Beggar Man,13,date?,30817,fic,gutenberg
110,2941,"Ayres, Ruby M. (Ruby Mildred)",,The Phantom Lover,23,date?,30286,fic,gutenberg
111,1585,"Ayres, Ruby M. (Ruby Mildred)",,The Second Honeymoon,17,date?,17446,fic,gutenberg
112,92,"Azuela, Mariano",,The Underdogs: A Novel of the Mexican Revolution,185,date?,549,fic,gutenberg
113,1837,"Babcock, Bernie",,The Coming of the King,9,date?,20367,fic,gutenberg
114,3106,"Babcock, Bernie",,The Daughter of a Republican,3,date?,31493,fic,gutenberg
115,2135,"Bacon, Josephine Daskam",,A Philanthropist,7,date?,23366,fic,gutenberg
116,2133,"Bacon, Josephine Daskam",,A Reversion To Type,9,date?,23364,fic,gutenberg
117,4337,"Bacon, Josephine Daskam",,An Idyll of All Fools' Day,5,date?,42692,fic,gutenberg
118,2134,"Bacon, Josephine Daskam",,In The Valley Of The Shadow,13,date?,23365,fic,gutenberg
119,2008,"Bacon, Josephine Daskam",,In the Border Country,6,date?,22310,fic,gutenberg
120,2136,"Bacon, Josephine Daskam",,Julia The Apostate,9,date?,23367,fic,gutenberg
121,2444,"Bacon, Josephine Daskam",,Margarita's Soul: The Romantic Recollections of a Man of Fifty,11,date?,26277,fic,gutenberg
122,2138,"Bacon, Josephine Daskam",,Mrs. Dud's Sister,11,date?,23369,fic,gutenberg
123,4258,"Bacon, Josephine Daskam",,Smith College Stories: Ten Stories by Josephine Dodge Daskam,11,date?,41858,fic,gutenberg
124,2137,"Bacon, Josephine Daskam",,The Courting Of Lady Jane,15,date?,23368,fic,gutenberg
125,3072,"Bacon, Josephine Daskam",,The Strange Cases of Dr. Stanchon,10,date?,31202,fic,gutenberg
126,1795,"Bacon, Josephine Daskam",,While Caroline Was Growing,13,date?,19869,fic,gutenberg
127,987,"Bagnold, Enid",,The Happy Foreigner,13,date?,9978,fic,gutenberg
128,2283,"Bailey, Arthur Scott",,The Tale of Benny Badger,33,date?,24589,fic,gutenberg
129,1918,"Bailey, Arthur Scott",,The Tale of Betsy Butterfly: Tuck-Me-In Tales,21,date?,21322,fic,gutenberg
130,2339,"Bailey, Arthur Scott",,The Tale of Billy Woodchuck,6,date?,25090,fic,gutenberg
131,1921,"Bailey, Arthur Scott",,The Tale of Bobby Bobolink: Tuck-me-In Tales,12,date?,21412,fic,gutenberg
132,757,"Bailey, Arthur Scott",,The Tale of Brownie Beaver,25,date?,6754,fic,gutenberg
133,1672,"Bailey, Arthur Scott",,The Tale of Buster Bumblebee,26,date?,18662,fic,gutenberg
134,2416,"Bailey, Arthur Scott",,The Tale of Chirpy Cricket,7,date?,25943,fic,gutenberg
135,1437,"Bailey, Arthur Scott",,The Tale of Cuffy Bear,14,date?,15528,fic,gutenberg
136,1922,"Bailey, Arthur Scott",,The Tale of Daddy Longlegs: Tuck-Me-In Tales,13,date?,21426,fic,gutenberg
137,1710,"Bailey, Arthur Scott",,The Tale of Dickie Deer Mouse,7,date?,18953,fic,gutenberg
138,635,"Bailey, Arthur Scott",,The Tale of Fatty Coon,19,date?,5701,fic,gutenberg
139,2284,"Bailey, Arthur Scott",,The Tale of Ferdinand Frog,11,date?,24590,fic,gutenberg
140,639,"Bailey, Arthur Scott",,The Tale of Freddie Firefly,9,date?,5727,fic,gutenberg
141,1664,"Bailey, Arthur Scott",,The Tale of Frisky Squirrel,15,date?,18630,fic,gutenberg
142,1910,"Bailey, Arthur Scott",,The Tale of Grandfather Mole,19,date?,21203,fic,gutenberg
143,2313,"Bailey, Arthur Scott",,The Tale of Grumpy Weasel: Sleepy-Time Tales,16,date?,24881,fic,gutenberg
144,2297,"Bailey, Arthur Scott",,The Tale of Grunty Pig: Slumber-Town Tales,27,date?,24731,fic,gutenberg
145,1669,"Bailey, Arthur Scott",,The Tale of Henrietta Hen,30,date?,18652,fic,gutenberg
146,1951,"Bailey, Arthur Scott",,The Tale of Jasper Jay: Tuck-Me-In Tales,15,date?,21836,fic,gutenberg
147,2288,"Bailey, Arthur Scott",,The Tale of Jimmy Rabbit: Sleepy-TimeTales,17,date?,24628,fic,gutenberg
148,2624,"Bailey, Arthur Scott",,The Tale of Jolly Robin,54,date?,28293,fic,gutenberg
149,2287,"Bailey, Arthur Scott",,The Tale of Kiddie Katydid,11,date?,24608,fic,gutenberg
150,1663,"Bailey, Arthur Scott",,The Tale of Major Monkey,10,date?,18626,fic,gutenberg
151,2312,"Bailey, Arthur Scott",,The Tale of Master Meadow Mouse,13,date?,24872,fic,gutenberg
152,1905,"Bailey, Arthur Scott",,The Tale of Miss Kitty Cat: Slumber-Town Tales,29,date?,21078,fic,gutenberg
153,1811,"Bailey, Arthur Scott",,The Tale of Mrs. Ladybug,12,date?,20097,fic,gutenberg
154,1933,"Bailey, Arthur Scott",,The Tale of Nimble Deer: Sleepy-Time Tales,8,date?,21619,fic,gutenberg
155,3000,"Bailey, Arthur Scott",,The Tale of Old Dog Spot,21,date?,30667,fic,gutenberg
156,1334,"Bailey, Arthur Scott",,The Tale of Old Mr. Crow,12,date?,14402,fic,gutenberg
157,2096,"Bailey, Arthur Scott",,The Tale of Peter Mink,4,date?,22979,fic,gutenberg
158,1953,"Bailey, Arthur Scott",,The Tale of Peter Mink: Sleepy-Time Tales,15,date?,21845,fic,gutenberg
159,1671,"Bailey, Arthur Scott",,The Tale of Pony Twinkleheels,14,date?,18656,fic,gutenberg
160,4394,"Bailey, Arthur Scott",,The Tale of Reddy Woodpecker,13,date?,43447,fic,gutenberg
161,2394,"Bailey, Arthur Scott",,The Tale of Rusty Wren,5,date?,25824,fic,gutenberg
162,944,"Bailey, Arthur Scott",,The Tale of Sandy Chipmunk,12,date?,9462,fic,gutenberg
163,2285,"Bailey, Arthur Scott",,The Tale of Snowball Lamb,11,date?,24592,fic,gutenberg
164,1518,"Bailey, Arthur Scott",,The Tale of Solomon Owl,31,date?,16663,fic,gutenberg
165,1868,"Bailey, Arthur Scott",,The Tale of Timothy Turtle,16,date?,20716,fic,gutenberg
166,2024,"Bailey, Arthur Scott",,The Tale of Timothy Turtle,8,date?,22434,fic,gutenberg
167,671,"Bailey, Arthur Scott",,The Tale of Tommy Fox,17,date?,5955,fic,gutenberg
168,1952,"Bailey, Arthur Scott",,The Tale of Turkey Proudfoot: Slumber-Town Tales,6,date?,21844,fic,gutenberg
169,2279,"Bailey, Arthur Scott",,The Tale of the The Muley Cow: Slumber-Town Tales,15,date?,24545,fic,gutenberg
170,4193,"Bailey, Carolyn Sherwin",,Boys and Girls of Colonial Days,23,date?,41348,fic,gutenberg
171,955,"Bailey, H. C. (Henry Christopher)",,The Highwayman,27,date?,9749,fic,gutenberg
172,2646,"Baily, Waldron",,Heart of the Blue Ridge,15,date?,28454,fic,gutenberg
173,3214,"Baily, Waldron",,When the Cock Crows,9,date?,32116,fic,gutenberg
174,2441,"Baird, Jean K. (Jean Katherine)",,Elizabeth Hobart at Exeter Hall,6,date?,26258,fic,gutenberg
175,2521,"Baird, Jean K. (Jean Katherine)",,Hester's Counterpart: A Story of Boarding School Life,11,date?,26973,fic,gutenberg
176,3720,"Baird, Jean K. (Jean Katherine)",,That Little Girl of Miss Eliza's: A Story for Young People,8,date?,35822,fic,gutenberg
177,1529,"Baker, Karle Wilson",,The Garden of the Plynck,12,date?,16731,fic,gutenberg
178,3890,"Baldwin, Faith",,Mavis of Green Hill,22,date?,37710,fic,gutenberg
179,2803,"Ball, Eustace Hale",,Traffic in Souls: A Novel of Crime and Its Cure,10,date?,29453,fic,gutenberg
180,1272,"Barbour, Ralph Henry",,Behind the Line: A Story of College Life and Football,12,date?,13556,fic,gutenberg
181,4670,"Barbour, Ralph Henry",,Captain of the Crew,13,date?,48745,fic,gutenberg
182,4600,"Barbour, Ralph Henry",,Center Rush Rowland,8,date?,46592,fic,gutenberg
183,4661,"Barbour, Ralph Henry",,For the Honor of the School: A Story of School Life and Interscholastic Sport,19,date?,47974,fic,gutenberg
184,3824,"Barbour, Ralph Henry",,Four Afloat: Being the Adventures of the Big Four on the Water,10,date?,37021,fic,gutenberg
185,4702,"Barbour, Ralph Henry",,Four Afoot: Being the Adventures of the Big Four on the Highway,16,date?,50983,fic,gutenberg
186,4695,"Barbour, Ralph Henry",,Four in Camp: A Story of Summer Adventures in the New Hampshire Woods,19,date?,50590,fic,gutenberg
187,4331,"Barbour, Ralph Henry",,Full-Back Foster,20,date?,42653,fic,gutenberg
188,1863,"Barbour, Ralph Henry",,Left End Edwards,12,date?,20650,fic,gutenberg
189,2427,"Barbour, Ralph Henry",,Left Guard Gilbert,11,date?,26149,fic,gutenberg
190,4630,"Barbour, Ralph Henry",,Left Half Harmon,4,date?,47226,fic,gutenberg
191,1269,"Barbour, Ralph Henry",,Left Tackle Thayer,9,date?,13542,fic,gutenberg
192,4502,"Barbour, Ralph Henry",,On Your Mark! A Story of College Life and Athletics,12,date?,45140,fic,gutenberg
193,4625,"Barbour, Ralph Henry",,Quarter-Back Bates,15,date?,47120,fic,gutenberg
194,4690,"Barbour, Ralph Henry",,Right End Emerson,7,date?,50414,fic,gutenberg
195,1290,"Barbour, Ralph Henry",,The Adventure Club Afloat,88,date?,13897,fic,gutenberg
196,4537,"Barbour, Ralph Henry",,"The Arrival of Jimpson, and Other Stories for Boys about Boys",5,date?,45689,fic,gutenberg
197,3471,"Barbour, Ralph Henry",,The Crimson Sweater,20,date?,33425,fic,gutenberg
198,1074,"Barbour, Ralph Henry",,"The Half-Back: A Story of School, Football, and Golf",8,date?,11041,fic,gutenberg
199,1226,"Barbour, Ralph Henry",,The Lilac Girl,56,date?,12858,fic,gutenberg
200,4060,"Barbour, Ralph Henry",,The Lucky Seventh,8,date?,39923,fic,gutenberg
201,726,"Barbour, Ralph Henry",,"The New Boy at Hilltop, and Other Stories",12,date?,6487,fic,gutenberg
202,3838,"Barbour, Ralph Henry",,The Turner Twins,12,date?,37209,fic,gutenberg
203,4503,"Barbour, Ralph Henry",,Weatherby's Inning: A Story of College Life and Baseball,7,date?,45142,fic,gutenberg
204,1230,"Barbusse, Henri",,Light,12,date?,12904,fic,gutenberg
205,1165,"Barbusse, Henri",,The Inferno,62,date?,12414,fic,gutenberg
206,473,"Barbusse, Henri",,Under Fire: The Story of a Squad,97,date?,4380,fic,gutenberg
207,2929,"Barclay, Hubert, Mrs.",,East of the Shadows,5,date?,30193,fic,gutenberg
208,2426,"Barclay, Vera C. (Vera Charlesworth)",,Stories of the Saints by Candle-Light,11,date?,26130,fic,gutenberg
209,4323,"Barcynska, Countess (H?l?ne)",,The Honey-Pot,8,date?,42531,fic,gutenberg
210,325,"Baring, Maurice",,"Orpheus in Mayfair, and Other Stories and Sketches",42,date?,2492,fic,gutenberg
211,4340,"Baring, Maurice",,Overlooked,24,date?,42703,fic,gutenberg
212,4339,"Baring, Maurice",,Passing By,30,date?,42702,fic,gutenberg
213,3757,"Barnes, James",,Yankee Ships and Yankee Sailors: Tales of 1812,13,date?,36136,fic,gutenberg
214,870,"Baroja, P?o",,C?sar or Nothing,14,date?,8444,fic,gutenberg
215,874,"Baroja, P?o",,The Quest,5,date?,8496,fic,gutenberg
216,2436,"Barrett, James Francis",,The Loyalist: A Story of the American Revolution,11,date?,26217,fic,gutenberg
217,3071,"Barrett, Katharine Ellis",,The Wide Awake Girls in Winsted,10,date?,31200,fic,gutenberg
218,4572,"Barron, Edward",,An Accidental Honeymoon,26,date?,46195,fic,gutenberg
219,4006,"Barry, John D. (John Daniel)",,Mademoiselle Blanche: A Novel,2,date?,39383,fic,gutenberg
220,4605,Bartimeus,,"Naval Occasions, and Some Traits of the Sailor-man",23,date?,46730,fic,gutenberg
221,2412,Bartimeus,,The Long Trick,6,date?,25921,fic,gutenberg
222,4420,"Bartlett, Alden Eugene",,Harbor Jim of Newfoundland,5,date?,43934,fic,gutenberg
223,1840,"Bartlett, Frederick Orin",,The Seventh Noon,7,date?,20429,fic,gutenberg
224,1843,"Bartlett, Frederick Orin",,The Triflers,8,date?,20458,fic,gutenberg
225,2844,"Bartlett, Frederick Orin",,The Wall Street Girl,18,date?,29654,fic,gutenberg
226,2736,"Bartlett, Frederick Orin",,The Web of the Golden Spider,24,date?,29104,fic,gutenberg
227,4009,"Bartlett, Paul Alexander",,Christ's Journal,8,date?,39400,fic,gutenberg
228,4482,"Bartlett, Paul Alexander",,"Forward, Children!",31,date?,44717,fic,gutenberg
229,4013,"Bartlett, Paul Alexander",,Sappho's Journal,20,date?,39467,fic,gutenberg
230,4014,"Bartlett, Paul Alexander",,Voices from the Past,75,date?,39468,fic,gutenberg
231,4090,"Bartlett, Paul Alexander",,When the Owl Cries,9,date?,40245,fic,gutenberg
232,2864,"Bartley, Nalbro",,The Gorgeous Girl,22,date?,29753,fic,gutenberg
233,3644,"Bashford, H. H. (Henry Howarth), Sir",,Half-Past Bedtime,11,date?,35029,fic,gutenberg
234,4037,"Bashford, H. H. (Henry Howarth), Sir",,"The Corner of Harley Street: Being Some Familiar Correspondence of Peter Harding, M.D.",4,date?,39681,fic,gutenberg
235,4048,"Bashford, H. H. (Henry Howarth), Sir",,Tommy Wideawake,10,date?,39802,fic,gutenberg
236,2148,"Bassett, Sara Ware",,Carl and the Cotton Gin,7,date?,23560,fic,gutenberg
237,1704,"Bassett, Sara Ware",,Flood Tide,11,date?,18902,fic,gutenberg
238,2207,"Bassett, Sara Ware",,Mrs. Christy's Bridge Party,2,date?,23973,fic,gutenberg
239,4411,"Bassett, Sara Ware",,Shifting Sands,11,date?,43773,fic,gutenberg
240,2129,"Bassett, Sara Ware",,Ted and the Telephone,64,date?,23292,fic,gutenberg
241,2567,"Bassett, Sara Ware",,The Wall Between,9,date?,27471,fic,gutenberg
242,2175,"Bassett, Sara Ware",,Walter and the Wireless,8,date?,23728,fic,gutenberg
243,3186,"Bates, Harry",,Seed of the Arctic Ice,51,date?,32029,fic,gutenberg
244,2809,"Bates, Harry",,Under Arctic Ice,60,date?,29475,fic,gutenberg
245,4606,"Baudissin, Wolf Ernst Hugo Emil, Graf von",,Life in a German Crack Regiment,7,date?,46755,fic,gutenberg
246,4112,"Baxter, Beverley",,The Blower of Bubbles,9,date?,40501,fic,gutenberg
247,1587,"Baxter, Beverley",,The Parts Men Play,3,date?,17481,fic,gutenberg
248,4099,"Beach, Edward L. (Edward Latimer)",,An Annapolis First Classman,5,date?,40368,fic,gutenberg
249,722,"Beach, Rex",,Flowing Gold,18,date?,6425,fic,gutenberg
250,727,"Beach, Rex",,Going Some,38,date?,6488,fic,gutenberg
251,541,"Beach, Rex",,Heart of the Sunset,49,date?,5099,fic,gutenberg
252,1109,"Beach, Rex",,Laughing Bill Hyde and Other Stories,31,date?,11501,fic,gutenberg
253,1249,"Beach, Rex",,Pardners,37,date?,13135,fic,gutenberg
254,537,"Beach, Rex",,Rainbow's End,24,date?,5086,fic,gutenberg
255,547,"Beach, Rex",,The Auction Block,22,date?,5143,fic,gutenberg
256,455,"Beach, Rex",,The Barrier,62,date?,4082,fic,gutenberg
257,3210,"Beach, Rex",,The Crimson Gardenia and Other Tales of Adventure,12,date?,32101,fic,gutenberg
258,560,"Beach, Rex",,The Iron Trail,87,date?,5233,fic,gutenberg
259,622,"Beach, Rex",,The Ne'er-Do-Well,19,date?,5405,fic,gutenberg
260,717,"Beach, Rex",,The Net,18,date?,6379,fic,gutenberg
261,689,"Beach, Rex",,The Silver Horde,20,date?,6017,fic,gutenberg
262,536,"Beach, Rex",,The Spoilers,37,date?,5076,fic,gutenberg
263,532,"Beach, Rex",,The Winds of Chance,32,date?,5062,fic,gutenberg
264,3380,"Beaumont, Charles",,Elegy,34,date?,32819,fic,gutenberg
265,3769,"Beaumont, Charles",,The Beautiful People,70,date?,36258,fic,gutenberg
266,2194,"Beck, C. C. (Charles Clarence)",,Vanishing Point,76,date?,23868,fic,gutenberg
267,3057,"Bedford-Jones, H. (Henry)",,Nuala O'Malley,7,date?,30979,fic,gutenberg
268,3996,"Bedford-Jones, H. (Henry)",,The Mardi Gras Mystery,21,date?,39229,fic,gutenberg
269,3652,"Bedford-Jones, H. (Henry)",,The Mesa Trail,13,date?,35078,fic,gutenberg
270,121,"Beerbohm, Max, Sir",,A. V. Laider,22,date?,761,fic,gutenberg
271,120,"Beerbohm, Max, Sir",,James Pethel,8,date?,759,fic,gutenberg
272,3788,"Beerbohm, Max, Sir",,The Happy Hypocrite: A Fairy Tale for Tired Men,48,date?,36497,fic,gutenberg
273,240,"Beerbohm, Max, Sir",,"Zuleika Dobson; Or, An Oxford Love Story",137,date?,1845,fic,gutenberg
274,975,"Bell, J. J. (John Joy)",,Till the Clock Stops,10,date?,9873,fic,gutenberg
275,1158,"Bell, J. J. (John Joy)",,Wee Macgreegor Enlists,9,date?,12269,fic,gutenberg
276,1703,"Bell, Lilian",,At Home with the Jardines,4,date?,18895,fic,gutenberg
277,4146,"Bell, Lilian",,Carolina Lee,9,date?,40850,fic,gutenberg
278,1976,"Bell, Lilian",,The Love Affairs of an Old Maid,19,date?,22047,fic,gutenberg
279,1588,"Bellinger, Martha Idell Fletcher",,The Stolen Singer,4,date?,17495,fic,gutenberg
