,title,m_title,score,u_genre_id,m_id,,m_author,,author
59,A winter in Bath,Cloister and hearth,57,,ReadCCH,,"Reade, Charles",,"Bayfield, E. G.,"
60,C??lebs in search of a wife,Coelebs in search of a wife,91,nyp.33433074915970,MoreHCI,,"More, Hannah",,"More, Hannah,"
61,"Angelo Guicciardini, or, The bandit of the Alps","Aunt Phillis's Cabin: Or, Southern Life As It Is",49,,EastMAP,,"Eastman, Mary Henderson",,"Frances, Sophia L."
62,"The adulteress ; or, anecdotes of two noble families",THE ADVENTURES OF Roderick Random.,59,,SmolTAR,,"Smollett, Tobias George, 1721-1771",,Anonymous6
63,Forest of Montalbano,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,56,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Cuthbertson, Catherine."
64,The confessional of Valombre,Confessions of a thug,61,,TaylMCT,,"Taylor, Meadows",,"Stanhope, Louisa Sidney."
65,The Englishman,The Coral Island,60,,BallRCI,,"Ballantyne, R. M.",,"Byron, Medora Gordon."
66,Aretas,Hard cash,53,,ReadCHC,,"Reade, Charles",,"Parker, Emma."
67,The monastery of St. Columb;,The mystery of Edwin Drood,59,,DickCME,,"Dickens, Charles",,"Roche, Regina Maria,"
68,"Bertram, or, The castle o",Crotchet Castle,60,,PeacTCC,,"Peacock, Thomas Love",,"Maturin, Charles Robert,"
69,Rhoda,Romola,55,,ElioGR,,"Eliot, George",,"Lewis, Alethea,"
70,Tales of fancy,A tale of a lonely parish,69,,CrawFTL,,"Crawford, Francis Marion",,"Burney, Sarah Harriet,"
71,Northanger abbey,Northanger Abbey,100,uc1.31158008377706,AustJNA,,"Austen, Jane",,"Austen, Jane,"
72,Northanger Abbey,Northanger Abbey,100,uiuo.ark+=13960=t2b85z60c,AustJNA,,"Austen, Jane",,"Austen, Jane,"
73,New tales,Newcomes,59,,ThacWN,,"Thackeray, William Makepeace",,"Opie, Amelia Alderson,"
74,New tales,Newcomes,59,,ThacWN,,"Thackeray, William Makepeace",,"Opie, Amelia Alderson,"
75,Frankenstein,Frankenstein,100,mdp.39015004200997,ShelMF,,"Shelley, Mary Wollstonecraft",,"Shelley, Mary Wollstonecr"
76,Northanger Abbey,Northanger Abbey,100,uiuo.ark+=13960=t4km00443,AustJNA,,"Austen, Jane",,"Austen, Jane,"
77,The fast of St. Magdalen,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,60,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Porter, Anna Maria,"
78,Northanger Abbey,Northanger Abbey,100,uiuo.ark+=13960=t6zw24n6x,AustJNA,,"Austen, Jane",,"Austen, Jane,"
79,Northanger Abbey,Northanger Abbey,100,uiuo.ark+=13960=t09w14g77,AustJNA,,"Austen, Jane",,"Austen, Jane,"
80,Melmoth the wanderer,Melmoth the wanderer,100,mdp.39015021039998,MatuCMW,,"Maturin, Charles Robert",,"Maturin, Charles Robert,"
81,The earthquake;,Hereward the wake,62,,KingCHW,,"Kingsley, Charles",,"Galt, John,"
82,Tales of the heart,Dreamers of the Ghetto,70,,ZangIDG,,"Zangwill, Israel",,"Opie, Amelia Alderson,"
83,The sketch-book of Geoffr,The wreck of the Grosvenor,59,,RussWWG,,"Russell, William Clark",,"Irving, Washington,"
84,Melmoth the wanderer,Melmoth the wanderer,100,mdp.39015021040004,MatuCMW,,"Maturin, Charles Robert",,"Maturin, Charles Robert,"
85,Melmoth the wanderer,Melmoth the wanderer,100,mdp.39015021039980,MatuCMW,,"Maturin, Charles Robert",,"Maturin, Charles Robert,"
86,Matthew Tindale,Catherine,58,,ThacWC,,"Thackeray, William Makepeace",,"Varty-Smith, Augusta A."
87,Kenilworth,Kenilworth,100,ucm.5324200594,ScotWK,,"Scott, Walter, Sir",,"Scott, Walter,"
88,Reginald Dalton,Lorna Doone,54,,BlacRLD,,"Blackmore, R. D.",,"Lockhart, J. G."
89,"Other times; or, the monks of Leadenhall",The mill on the floss,60,,ElioGMF,,"Eliot, George",,"Gaspey, Thomas,"
90,"Owen Castle, or, Which is the heroine?",THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,50,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Sullivan, Mary Ann."
91,The pilot;,The provost,67,,GaltJP,,"Galt, John",,"Cooper, James Fenimore,"
92,The convert,The provost,64,,GaltJP,,"Galt, John",,"Wilkins, George,"
93,The last man,Last Man,80,dul1.ark+=13960=t41r7h934,ShelMLM,,"Shelley, Mary Wollstonecraft",,"Shelley, Mary Wollstonecr"
94,Legends of terror!,A legend of Montrose,68,,ScotWLM,,"Scott, Walter, Sir",,Anonymous2
95,The last man,Last Man,80,uiuo.ark+=13960=t8x92v101,ShelMLM,,"Shelley, Mary Wollstonecraft",,"Shelley, Mary Wollstonecr"
96,Gaston de Blondeville,Tess of the D'Urbervilles,52,,HardTTD,,"Hardy, Thomas",,"Radcliffe, Ann Ward,"
97,Gaston de Blondeville,Tess of the D'Urbervilles,52,,HardTTD,,"Hardy, Thomas",,"Radcliffe, Ann Ward,"
98,Tales,Three clerks,47,,TrolATC,,"Trollope, Anthony",,"Banim, John,"
99,Falkland,Camilla,53,,BurnFC,,"Burney, Fanny",,"Lytton, Edward Bulwer Lyt"
100,De Vere,The Heroine,56,,BarrEH,,"Barrett, Eaton Stannard",,"Ward, R. Plumer"
101,The mummy!,Emma,43,,AustJE,,"Austen, Jane",,"Loudon, Jane"
102,History of George Godfrey,THE HISTORY OF TOM JONES A FOUNDLING.,61,,FielHHT2,,"Fielding, Henry, 1707-1754",,"Gaspey, Thomas,"
103,History of George Godfrey,THE HISTORY OF TOM JONES A FOUNDLING.,61,,FielHHT2,,"Fielding, Henry, 1707-1754",,"Gaspey, Thomas,"
104,Memoirs of Vidocq,Memoirs of Emma Courtney,59,,HaysMME,,"Hays, Mary",,"Vidocq, Eug??ne Fran?_ois,"
105,Devereux,Waverley,50,,ScotWW,,"Scott, Walter, Sir",,"Lytton, Edward Bulwer Lyt"
106,Paul Clifford,Alton Locke,42,,KingCAL,,"Kingsley, Charles",,"Lytton, Edward Bulwer Lyt"
107,The buccaneer,The absentee,64,,EdgeMA,,"Edgeworth, Maria",,"Hall, Anna Maria"
108,The Jew,The entail,59,,GaltJE,,"Galt, John",,"Spindler, Carl,"
109,Stanley Buxton;,Mary Barton,54,,GaskEMB,,"Gaskell, Elizabeth Cleghorn",,"Galt, John,"
110,Contarini Fleming;,Martin Chuzzlewit,46,,DickCMC,,"Dickens, Charles",,"Disraeli, Benjamin,"
111,Contarini Fleming;,Martin Chuzzlewit,46,,DickCMC,,"Dickens, Charles",,"Disraeli, Benjamin,"
112,Tales of the Alhambra,Annals of the parish,63,,GaltJAP,,"Galt, John",,"Irving, Washington,"
113,Eugene Aram,Eugene Aram,100,njp.32101032308387,LyttEEA,,"Lytton, Edward Bulwer Lytton",,"Lytton, Edward Bulwer Lyt"
114,The buccaneer,The absentee,64,,EdgeMA,,"Edgeworth, Maria",,"Hall, Anna Maria"
115,Henry Masterton;,Henry Esmond,64,,ThacWHE,,"Thackeray, William Makepeace",,"James, G. P. R."
116,The buccaneer,The absentee,64,,EdgeMA,,"Edgeworth, Maria",,"Hall, Anna Maria"
117,Godolphin,Old mortality,45,,ScotWOM,,"Scott, Walter, Sir",,"Lytton, Edward Bulwer Lyt"
118,The soldier's bride and o,THE ADVENTURES OF Roderick Random.,58,,SmolTAR,,"Smollett, Tobias George, 1721-1771",,"Hall, James,"
119,Some passages in the life of Sir Frizzle Pumpkin,Scenes of clerical life,50,,ElioGSC,,"Eliot, George",,"White, James,"
120,Rookwood,Rookwood (Vol. 1/3),59,mdp.39015030996832,AinsWRR.txt,,"Ainsworth, William Harrison",,"Ainsworth, William Harris"
121,"Camperdown, or, News from",A SIMPLE STORY. IN FOUR VOLUMES.,50,,InchMSS,,"Inchbald, Mrs., 1753-1821",,"Griffith, Mary,"
122,Oliver Twist,Oliver Twist,100,hvd.hwjme4,DickCOT,,"Dickens, Charles",,"Dickens, Charles,"
123,Twice-told tales,Crotchet Castle,52,,PeacTCC,,"Peacock, Thomas Love",,"Hawthorne, Nathaniel,"
124,Rory O'More,Robert Elsmere,56,,WardHRE,,"Ward, Humphry, Mrs.",,"Lover, Samuel,"
125,Oliver Twist,Oliver Twist,100,mdp.39015000551799,DickCOT,,"Dickens, Charles",,"Dickens, Charles,"
126,A romance of Vienna,"The prince of India, or, Why Constantinople fell (Vol. 1/2)",56,,WallLPI,,"Wallace, Lew",,"Trollope, Frances Milton,"
127,The narrative of Arthur G,Omoo: a narrative of adventures in the South Seas,64,,MelvHON,,"Melville, Herman",,"Poe, Edgar Allan,"
128,The robber,The professor,70,,BronCP,,"Bronte, Charlotte",,"James, G. P. R."
129,"Cousin Geoffrey, the old ",Coelebs in search of a wife,51,,MoreHCI,,"More, Hannah",,"Hook, Theodore Edward,"
130,The Tower of London,"The Tower of London, a historical romance",93,nyp.33433074919402,AinsWTL,,"Ainsworth, William Harrison",,"Ainsworth, William Harris"
131,Jack Sheppard ;,Jack Sheppard,93,dul1.ark+=13960=t9n30pf1s,AinsWJS,,"Ainsworth, William Harrison",,"Ainsworth, William Harris"
132,The old curiosity shop,The old curiosity shop,100,mdp.39015004880715,DickCOC,,"Dickens, Charles",,"Dickens, Charles,"
133,The Murder in the Rue Morgue (short story),The house with the green shutters,67,,BrowGHW,,"Brown, George Douglas",,"Poe, Edgar Allan,"
134,Modern flirtations,Great expectations,50,,DickCGE,,"Dickens, Charles",,"Sinclair, Catherine,"
135,The Mystery of Marie Roget (short story),The mystery of Edwin Drood,73,,DickCME,,"Dickens, Charles",,"Poe, Edgar Allan,"
136,Tales by Edgar Allan Poe,A tale of a lonely parish,52,,CrawFTL,,"Crawford, Francis Marion",,"Poe, Edgar Allan,"
137,Forest days;,Esther Waters,48,,MoorGEW,,"Moore, George",,"James, G. P. R."
138,Livonian tales,St. Leon : a tale of the sixteenth century,58,,GodwWSL2,,"Godwin, William",,"Eastlake, Elizabeth,"
139,The mysteries of London,THE MYSTERIES of UDOLPHO A ROMANCE; INTERSPERSED WITH SOME PIECES OF POETRY.,78,,RadcAMU2,,"Radcliffe, Ann Ward, 1764-1823",,"Reynolds, George W. M."
140,Martin Chuzzlewit,Martin Chuzzlewit,100,uc2.ark+=13960=t7hq42c97,DickCMC,,"Dickens, Charles",,"Dickens, Charles,"
141,The Purloined Letter (short story),The professor,51,,BronCP,,"Bronte, Charlotte",,"Poe, Edgar Allan,"
142,Selected tales of mystery,A tale of a lonely parish,51,,CrawFTL,,"Crawford, Francis Marion",,"Poe, Edgar Allan,"
143,Gertrude,Barnaby Rudge,48,,DickCBR,,"Dickens, Charles",,"Sewell, Elizabeth Missing"
144,The mysteries of London,THE MYSTERIES of UDOLPHO A ROMANCE; INTERSPERSED WITH SOME PIECES OF POETRY.,78,,RadcAMU2,,"Radcliffe, Ann Ward, 1764-1823",,"Reynolds, George W. M."
145,Mosses from an old manse,News from nowhere,54,,MorrWNF,,"Morris, William",,"Hawthorne, Nathaniel,"
146,Jane Eyre,Daniel Deronda,52,,ElioGDD,,"Eliot, George",,"Bront??, Charlotte,"
147,Wuthering Heights,Catherine,54,,ThacWC,,"Thackeray, William Makepeace",,"Bront??, Emily,"
148,Zenon,Erewhon,50,,ButlSE,,"Butler, Samuel",,"Cobbold, Richard,"
149,Lovers and husbands,Loss and gain,62,,NewmJLG,,"Newman, John Henry",,"Arthur, T. S."
150,Shadows of the clouds,Diana of the crossways,56,,MereGDC,,"Meredith, George",,"Froude, James Anthony,"
151,Jane Eyre,Daniel Deronda,52,,ElioGDD,,"Eliot, George",,"Bront??, Charlotte,"
152,"Tales of terror; or, The ",THE Female QUIXOTE; OR THE ADVENTURES OF ARABELLA. In TWO VOLUMES. VOL. II.,64,,LennCFQ2,,"Lennox, Charlotte, ca. 1729-1804",,"St. Clair, Henry."
153,Madeleine,Armadale,59,,CollWA,,"Collins, Wilkie",,"Kavanagh, Julia,"
154,The emigrant family ;,The entail,65,,GaltJE,,"Galt, John",,"Harris, Alexander,"
155,The Lancashire witches,The Ayrshire legatees,65,,GaltJAL,,"Galt, John",,"Ainsworth, William Harris"
156,The mysteries of the cour,THE MYSTERIES of UDOLPHO A ROMANCE; INTERSPERSED WITH SOME PIECES OF POETRY.,75,,RadcAMU2,,"Radcliffe, Ann Ward, 1764-1823",,"Reynolds, George W. M."
157,The scarlet letter,The Ayrshire legatees,62,,GaltJAL,,"Galt, John",,"Hawthorne, Nathaniel,"
158,Tales of domestic life,Scenes of clerical life,62,,ElioGSC,,"Eliot, George",,"Arthur, T. S."
159,The King of the Hurons,The wreck of the Grosvenor,67,,RussWWG,,"Russell, William Clark",,"Myers, P. Hamilton"
160,Bertha,Ruth,60,,GaskER,,"Gaskell, Elizabeth Cleghorn",,"MacCabe, William Bernard,"
161,The house of the seven ga,The house with the green shutters,78,,BrowGHW,,"Brown, George Douglas",,"Hawthorne, Nathaniel,"
162,"""My novel,""",Dombey and Son,40,,DickCDS,,"Dickens, Charles",,"Lytton, Edward Bulwer Lyt"
163,Villette,Villette,100,mdp.49015001286492,BronCV,,"Bronte, Charlotte",,"Bront??, Charlotte,"
164,The attorney,The moonstone,64,,CollWM,,"Collins, Wilkie",,"Irving, John Treat,"
165,Bleak house,Bleak House,100,nyp.33433074954748,DickCBH,,"Dickens, Charles",,"Dickens, Charles,"
166,Five years of it,In the roar of the sea,59,,BariSIR,,"Baring-Gould, Sabine",,"Austin, Alfred,"
167,Phantastes,Phineas Redux,52,,TrolAPR,,"Trollope, Anthony",,"MacDonald, George,"
168,The ladies of Bever Hollo,The adventures of Sherlock Holmes,62,,DoylAAS,,"Doyle, Arthur Conan, Sir",,"Manning, Anne,"
169,Phantastes,Phineas Redux,52,,TrolAPR,,"Trollope, Anthony",,"MacDonald, George,"
170,Recollections of a Detect,Confessions of a thug,61,,TaylMCT,,"Taylor, Meadows",,"Russell, William,"
171,"Harry Roughton, or, Remin",ARTHUR MERVYN; OR MEMOIRS OF THE YEAR 1793.,49,,BrowCAM,,"Brown, Charles Brockden, 1771-1810",,"Hamel, Felix John."
172,Roccabella,Camilla,59,,BurnFC,,"Burney, Fanny",,"Chorley, Henry Fothergill"
173,Seacliff;,Scenes of clerical life,38,,ElioGSC,,"Eliot, George",,"De Forest, John William,"
174,The woman in white,The woman in white,100,mdp.39015038723360,CollWWI,,"Collins, Wilkie",,"Collins, Wilkie,"
175,Sword and gown,Loss and gain,59,,NewmJLG,,"Newman, John Henry",,"Lawrence, George A."
176,East Lynne,East Lynne,100,njp.32101067187755,WoodHEL,,"Wood, Henry, Mrs.",,"Wood, Ellen,"
177,Lady Audley's Secret,Lady Audley's secret,100,dul1.ark+=13960=t4jm31m6k,BradMLA,,"Braddon, M. E.",,"Braddon, M. E."
178,Rachel Ray,Dracula,59,,StokBD,,"Stoker, Bram",,"Trollope, Anthony,"
179,Hard Cash,Hard cash,100,uc2.ark+=13960=t3bz6dj56,ReadCHC,,"Reade, Charles",,"Reade, Charles,"
180,Notting Hill Mystery,Scottish chiefs,46,,PortJSC,,"Porter, Jane",,"Felix, Charles, pseud."
181,Hard Cash,Hard cash,100,uc2.ark+=13960=t5n87gd14,ReadCHC,,"Reade, Charles",,"Reade, Charles,"
182,Aurora Floyd,Barry Lyndon,58,,ThacWBL,,"Thackeray, William Makepeace",,"Braddon, M. E."
183,Uncle Silas,Uncle Silas,100,uc1.b250128,LefaJUS,,"Le Fanu, Joseph Sheridan",,"Le Fanu, Joseph Sheridan,"
184,Uncle Silas,Uncle Silas,100,uc1.b250127,LefaJUS,,"Le Fanu, Joseph Sheridan",,"Le Fanu, Joseph Sheridan,"
185,Uncle Silas,Uncle Silas,100,uc1.b250129,LefaJUS,,"Le Fanu, Joseph Sheridan",,"Le Fanu, Joseph Sheridan,"
186,Leaves from the note-book,Dreamers of the Ghetto,55,,ZangIDG,,"Zangwill, Israel",,"Williams, John Babbington"
187,From the Earth to the Moo,In the roar of the sea,67,,BariSIR,,"Baring-Gould, Sabine",,"Verne, Jules,"
188,Our mutual friend,Our mutual friend,100,uva.x000237148,DickCOM,,"Dickens, Charles",,"Dickens, Charles,"
189,Strathmore,Doctor Thorne,61,,TrolADT,,"Trollope, Anthony",,"Ouida,"
190,The Royalist's daughter a,Wives and daughters,55,,GaskEWD,,"Gaskell, Elizabeth Cleghorn",,"Murdoch, David."
191,The widow Lerouge,THE YOUNG WIDOW; OR THE HISTORY OF CORNELIA SEDLEY IN A SERIES OF LETTERS.,60,,HaylWYW,,"Hayley, William, 1745-1820",,"Gaboriau, Emile,"
192,Armadale,Armadale,100,nyp.33433074945779,CollWA,,"Collins, Wilkie",,"Collins, Wilkie,"
193,Hereward,Hereward the wake,64,uc2.ark+=13960=t9571nb3d,KingCHW,,"Kingsley, Charles",,"Kingsley, Charles,"
194,Crime and Punishment,Pride and prejudice,62,,AustJPP,,"Austen, Jane",,"Dostoevsky, Fyodor,"
195,Only to be married,Annals of the parish,53,,GaltJAP,,"Galt, John",,"Kirkus, William,"
196,File no. 113,Trilby (Vol. 1/3),55,,DumaGT,,"Du Maurier, George",,"Gaboriau, Emile,"
197,Not Wisely But Too Well,THE HISTORY OF TOM JONES A FOUNDLING.,47,,FielHHT2,,"Fielding, Henry, 1707-1754",,"Broughton, Rhoda,"
198,Marie Antoinette and her ,Cloister and hearth,55,,ReadCCH,,"Reade, Charles",,"M?_hlbach, L."
199,The mystery of Orcival,The mystery of Edwin Drood,67,,DickCME,,"Dickens, Charles",,"Gaboriau, Emile,"
200,Kitty's class day ;,Tom Brown's school days,48,,HughTTB,,"Hughes, Thomas",,"Alcott, Louisa May,"
201,Tonic bitters,The woman in white,52,,CollWWI,,"Collins, Wilkie",,"Knight, Legh."
202,The moonstone,The moonstone,100,inu.30000007708815,CollWM,,"Collins, Wilkie",,"Collins, Wilkie,"
203,The mosaic-worker's daugh,The Eustace diamonds,49,,TrolAED,,"Trollope, Anthony",,"Capes, J. M."
204,The Steam Man of the Prairies,At the back of the north wind,68,,MacDGAB,,"MacDonald, George",,"Ellis, Edward S."
205,Under lock and key; a sto,Under two flags,50,,OuidUT,,Ouida,,"Speight, T. W."
206,Twenty thousand leagues u,THE FORTUNES AND MISFORTUNES Of the FAMOUS Moll Flanders &c.,50,,DefoDFM,,"Defoe, Daniel, 1661?-1731",,"Verne, Jules,"
207,Her lord and master,Little Lord Fauntleroy,59,,BurnFLL,,"Burnett, Frances Hodgson",,"Marryat, Florence,"
208,The Skeleton in the House,The mill on the floss,61,,ElioGMF,,"Eliot, George",,"Spielhagen, Friedrich,"
