,actual,author,birthdate,date,doc_id,enumcron,final_genre,firstpub,gender,genretags,imprint,locnum,nationality,oclc,predicted,recordid,subjects,title,zscore
526,1824,"Cooper, James Fenimore,",1789,1832,hvd.hwjtfk,v.1,non_genre,1824,m,teamblack | random,Philadelph,,us,11743362,1856.317732,9719254,,The pilot;,2.078885835
585,1922,"Squier, Emma-Lindsay,",1892,1922,mdp.39015063096088,,non_genre,1922,f,teamred | random,New York;C,PS3537.Q6W5 1922,us,3305841,1953.893766,5133156,Animals;Fi,The wild heart,2.050930691
773,1838,"Poe, Edgar Allan,",1809,1838,uc1.31822038205001,,scifi,1838,m,teamblack | anatscifi | drop,London;Wil,PZ3.P752N2,us,3280190,1868.9652,10824291,,The narrative of Arthur G,1.989703545
480,1922,"Sampson, Emma Speed,",1868,1922,4730,,non_genre,1922,f,chirandom | teamblack,Chicago Re,,us,,1952.55672,,Orphans --,The shorn lamb,1.962769493
89,1948,"Williamson, Jack,",1908,1948,10923,,multi,1948,m,chifantasy | teamblack | chihorror | chiscifi,Pa. Fantas,,us,,1978.171722,,Werewolves,Darker than you think,1.937383812
43,1936,"Latimer, Jonathan,",1906,1936,10494,,crime,1936,m,teamblack | chimyst,Garden Cit,,us,,1966.068775,,Mystery fi,Murder in the madhouse,1.930595724
835,1777,"Reeve, Clara,",1729,1778,uc2.ark+=13960=t1td9p949,,gothic,1777,f,teamblack | pbgothic,London;E. ,,uk,3916924,1806.769168,7670886,,The old English baron,1.910840494
76,1946,"Wellman, Manly Wade,",1903,1946,10834,,scifi,1946,m,teamred | chiscifi,New York P,,us,,1975.233259,,Science fi,The solar invasion,1.875504074
504,1866,"Dostoevsky, Fyodor,",1821,1909,dostoevskypunishment,,crime,1866,m,teamred | lockandkey,,,ru,,1895.226566,,,Crime and Punishment,1.875062797
157,1935,"Montgomery, L. M.",1874,1935,11472,,non_genre,1935,f,chirandom | teamblack,Toronto Mc,,ca,,1963.813507,,,Mistress Pat,1.847826832
693,1790,"White, James,",,1790,nyp.33433074918784,v. 1,non_genre,1790,m,teamblack | random,London;Pri,,uk,5237679,1818.180488,8663985,1340-1399;,The adventures of John of,1.806087253
573,1791,"Reeve, Clara,",1729,1791,mdp.39015033367668,v.1,gothic,1791,f,teamblack | stangothic,London;Printed for T. Hookham [etc.;1791.,PR3658.R5S3,uk,7082998,1819.074793,326939,,The school for widows,1.799118015
176,1943,"Green, Henry,",1905,1943,11724,,non_genre,1943,m,chirandom | teamblack,London: Ho,,uk,,1970.293285,,England|Fi,Caught,1.74758749
580,1826,"Banim, John,",1798,1826,mdp.39015051156498,v.3,non_genre,1826,m,teamred | random,London;W. ,,ir,66267484,1853.014915,282013,,Tales,1.729232516
143,1931,"Rohmer, Sax,",1883,1931,11339,,crime,1931,m,teamblack | chimyst | stew,Garden Cit,,uk,,1957.824755,,"Fu Manchu,",Daughter of Fu Manchu,1.716693916
471,1921,"Putnam, Nina Wilcox,",1888,1921,4605,,non_genre,1921,f,chirandom | teamred,New York G,,us,,1947.745613,,Broadway (,West Broadway,1.711475516
442,1989,"Dunlap, Susan,",,1989,23075,,crime,1989,f,chirandom | teamred | chimyst | stew,New York V,,us,,2015.660253,,California,Pious deception,1.70584709
684,1837,"Lover, Samuel,",1797,1837,nyp.33433074878889,,non_genre,1837,m,teamblack | random,New York;F,,ir,6298715,1863.386776,8666267,Ireland;Hi,Rory O'More,1.687814754
665,1906,"Buckingham, Emma May.",,1906,nyp.33433068179716,,gothic,1906,f,teamred | locghost | stew,New York;F,BF1461.B9,,6599587,1932.328695,8622016,Ghost stor,Modern ghost stories,1.683985047
164,1938,"Hyde, Robin,",1906,1938,11575,,non_genre,1938,f,chirandom | teamred,London Hur,,nz,,1964.250876,,Young wome,The godwits fly,1.678853925
281,1966,"Pynchon, Thomas,",1937,1966,20709,,non_genre,1966,m,chirandom | teamblack,Philadelph,,us,,1992.238408,,California,The crying of lot 49,1.678031789
639,1836,"Griffith, Mary,",1772,1836,njp.32101067645505,,scifi,1836,f,teamblack | locscifi,Philadelph,,us,12851342,1862.22018,8961936,Science fi,"Camperdown, or, News from",1.676829901
615,1903,"Meyrink, Gustav,",1868,1909,meyrinkmanonthebottle,,crime,1903,m,teamred | lockandkey | stew,,,ge,,1929.051493,,,The Man on the Bottle,1.665707138
852,1874,"Stockton, Frank Richard,",1834,1874,uc2.ark+=13960=t44q7rc7f,,non_genre,1874,m,teamblack | random,New York;D,PZ7.S866Wh,us,1383508,1899.918245,7673258,,What might have been expe,1.656921103
492,1842,"Poe, Edgar Allan,",1809,1842,PoeMysteryMarieRoget1842,,crime,1842,m,teamred | det100 | stew, , ,us, ,1867.673255, ,,The Mystery of Marie Roget (short story),1.640767158
465,1920,"Raine, William MacLeod,",1871,1920,4485,,non_genre,1920,m,chirandom | teamred,New York G,,us,,1945.248972,,,Oh: you Tex!,1.612791099
603,1913,"Carson, James.",,1913,mdp.39015085433426,,crime,1913,m,teamblack | locdetmyst | stew,New York;C,,,4122645,1938.179489,5069382,Horses;Cow,The saddle boys of the Ro,1.608209533
12,1924,"Bromfield, Louis,",1896,1924,10216,,non_genre,1924,m,chirandom | teamblack,New York G,,us,,1949.150306,,Ohio -- Ma,The green bay tree,1.606285306
483,1948,"Derleth, August,",1909,1948,Derleth1948,,multi,1948,m,teamred | pbgothic | chiscifi,,,us,,1972.942017,,,Two stories by Derleth,1.592551268
51,1940,"Rawson, Clayton,",1906,1940,10621,,crime,1940,m,teamred | chimyst | stew,New York G,,us,,1964.65162,,Magicians;,The headless lady,1.57340332
523,1780,"Leprince de Beaumont,",1711,1798,hvd.hn6nee,v.2,non_genre,1780,f,teamblack | random,London;Printed for James Wallis ...;1798.,PQ1995.L75L5415 1798,fr,14355624,1804.471064,9712518,,Letters of Madame Du Montier,1.561497923
605,1911,"Appleton, Victor.",,1911,mdp.39076002194574,,crime,1911,m,teamblack | locdetmyst | juvenile | drop,New York;G,,,1811552,1935.36464,9926874,Aeronautic,Tom Swift and his sky rac,1.554480636
935,1786,"Beckford, William,",1760,1816,uiuo.ark+=13960=t9h41nx14,,gothic,1786,m,teamblack | pbgothic | stew,London;Pri,,uk,629922,1810.12553,8724075,,Vathek,1.538714357
95,1950,"Coxe, George Harmon,",1901,1950,10983,,crime,1950,m,teamred | chimyst,New York A,,us,,1974.075494,,Mystery fi,The frightened fiancÃ¯Â¿Â_e,1.535415115
799,1860,"Lawrence, George A.",1827,1860,uc1.b3324403,,non_genre,1860,m,teamred | random,Boston;Tic,,uk,10088557,1883.933972,6130930,,Sword and gown,1.526083556
542,1837,"Hawthorne, Nathaniel,",1804,1915,mdp.39015002313487,,gothic,1837,m,teamblack | pbgothic,London;J. ,,us,1846344,1860.581822,478831,,Twice-told tales,1.502863768
485,1868,"Ellis, Edward S.",1840,1880,EllisSteamManPrairies1868,,scifi,1868,m,teamblack | anatscifi | stew,,,us,,1891.557734,,,The Steam Man of the Prairies,1.501275448
589,1794,"Gunning,",1740,1794,mdp.39015063931474,v.3,non_genre,1794,f,teamblack | random,London;J. ,PZ3.G954M,uk,23625332,1817.305598,245028,,Memoirs of Mary,1.484650263
42,1936,"Gellhorn, Martha,",1908,1936,10490,,non_genre,1936,f,chirandom | teamred,London Put,,us,,1958.725723,,,The trouble I've seen,1.446414934
707,1902,"Owen, Harle Oren.",,1902,nyp.33433074954656,,scifi,1902,m,teamred | locscifi,"Boston, Ma",PZ3.C9126W,us,10294318,1924.530266,8665125,Science fi,Welsh rarebit tales,1.433527018
890,1847,"Froude, James Anthony,",1818,1847,uc2.ark+=13960=t9f47kt3k,,non_genre,1847,m,teamblack | random,London;J. ,PR 4706S52 1847,uk,367165,1869.517975,1023708,,Shadows of the clouds,1.432716539
797,1853,"Irving, John Treat,",1812,1853,uc1.b3324210,,non_genre,1853,m,teamblack | random,New York;R,,us,28529437,1875.354071,6130834,,The attorney,1.421909178
203,1952,"Brown, Fredric,",1906,1952,20049,,crime,1952,m,teamred | chimyst | stew,New York E,,us,,1974.222798,,Mystery fi,Deep end,1.413253419
841,1858,"MacDonald, George,",1824,1874,uc2.ark+=13960=t2h70nx9q,v.1,gothic,1858,m,teamblack | pbgothic | stew,London;Dal,,uk,78798411,1880.000299,7705645,,Phantastes,1.398582432
762,1896,"Palmarini, I. M.",1865,1909,palmarinishadows,,crime,1896,m,teamred | lockandkey,,,it,,1917.90404,,,Shadows,1.392235351
63,1944,"Hughes, Dorothy B.",1904,1944,10746,,crime,1944,f,chifantasy | teamblack | chimyst,New York D,,us,,1965.787667,,Murder;Mys,The delicate ape,1.384562072
749,1832,"Irving, Washington,",1783,1840,nyp.33433081585105,,gothic,1832,m,teamblack | pbgothic,Paris;Baud,,us,5797357,1853.295874,8644958,,Tales of the Alhambra,1.352134581
148,1932,"Snow, C. P.",1905,1932,11384,,crime,1932,m,teamblack | chimyst | stew,Garden Cit,,uk,,1952.918989,,England;Ph,Death under sail,1.327283809
260,1964,"Burroughs, William S.",1914,1964,20572,,scifi,1964,m,teamblack | chiscifi,New York G,,us,,1984.794055,,Science fi,Nova Express,1.319045967
213,1953,"Lowndes, Robert W,",1916,1953,20106,,scifi,1953,m,teamred | chiscifi,Philadelph,,us,,1973.704789,,Science fi,Mystery of the third mine,1.313160009
638,1878,"Auerbach, Berthold,",1812,1878,njp.32101067641678,,non_genre,1878,m,teamred | random,New York;H,PZ3.A917L,ge,1488706,1898.641506,7646450,,Landolin,1.308987347
278,1966,"Dick, Philip K,",1928,1966,20684,,scifi,1966,m,chirandom | teamblack | chiscifi,Garden Cit,,us,,1986.592557,,Science fi,Now wait for last year,1.305759779
620,1901,"Wells, H. G.",1866,1901,njp.32101021206436,,scifi,1901,m,teamblack | anatscifi | locscifi,Indianapol,PZ3.W465Fi2,uk,2160254,1921.584264,8886538,Science fi,The first men in the moon,1.305212943
613,1847,"BrontÃ«, Charlotte,",1816,1907,mdp.39076006220979,v.2,gothic,1847,f,teamred | pbgothic | stew,Edinburgh;,,uk,4238315,1867.405307,9913820,,Jane Eyre,1.293413023
783,1843,"Eastlake, Elizabeth,",1809,1846,uc1.b248744,,non_genre,1843,f,teamblack | random,London;J. ,,uk,3790961,1863.323425,6501566,,Livonian tales,1.288013922
494,1841,"Poe, Edgar Allan,",1809,1841,PoeRueMorgue1841,,crime,1841,m,det100 | teamblack, , ,us, ,1861.318135, ,,The Murder in the Rue Morgue (short story),1.287665095
732,1760,"Lesuire, Robert Martin,",1737,1764,nyp.33433075840177,,non_genre,1760,m,teamred | random,London;Pri,,fr,12901139,1780.209185,8671920,Social lif,The savages of Europe,1.280481231
488,1920,"Lindsay, David,",1876,1920,LindsayVoyageToArcturus1920,,scifi,1920,m,teamred | chifantasy | anatscifi | stew,,,uk,,1940.052271,,,Voyage To Arcturus,1.270134764
85,1948,"Queen, Ellery,",,1948,10911,,crime,1948,m,chirandom | det100 | teamblack | chimyst | cozy | stew,Boston Lit,,us,,1967.645274,,Sculptor;A,Ten days' wonder,1.243298497
218,1954,"Manfred, Frederick Feikem",1912,1954,20151,,non_genre,1954,m,chirandom | teamred,New York M,,us,,1973.593792,,,Lord Grizzly,1.239903914
642,1801,"Du Bois, Edward,",1774,1803,njp.32101068177094,vol.2,non_genre,1801,m,teamred | random,London;T.N. Longman and O. Rees;1803.,PZ3.D8515O2,uk,10370714,1820.331684,8969050,,Old Nick;,1.222621208
788,1864,"Le Fanu, Joseph Sheridan,",1814,1864,uc1.b250128,v.2,multi,1864,m,sensation | pbgothic | teamblack | stew,London;R. ,,ir,5515317,1883.260469,6502425,,Uncle Silas,1.21792553
495,1859,"Russell, William,",,1859,RecollectionsAD,,crime,1859,m,det100 | teamblack,,,uk,,1878.124848,,,Recollections of a Detect,1.208983005
740,1891,"Ward, Herbert Dickinson,",,1891,nyp.33433076056781,,scifi,1891,m,teamblack | locscifi | stew,New York;T,PS3144.W212R46 1891,,20963778,1910.046063,6155283,Science fi,A republic without a pres,1.203788182
14,1926,"Biggers, Earl Derr,",1884,1926,10250,,crime,1926,m,teamred | det100 | chimyst,Indianapol,,us,,1944.935121,,San Franci,Fifty candles,1.19647297
956,1880,"Zhelikhovsky, Vera,",1835,1909,verajelihovskygeneralswill,,crime,1880,f,lockandkey | teamblack,,,ru,,1898.755902,,First pub a guess,The General's Will,1.184655701
564,1794,"Bennett, Anna Maria,",,1794,mdp.39015021250124,v.1,non_genre,1794,f,teamred | random,London;Pri,,uk,6630561,1812.726311,282559,,"Ellen, Countess of Castle Howel",1.182704566
612,1847,"BrontÃ«, Charlotte,",1816,1907,mdp.39076006220961,v.1,gothic,1847,f,teamred | pbgothic,Edinburgh;,,uk,4238315,1865.640919,9913820,,Jane Eyre,1.177074079
65,1945,"Armstrong, Charlotte,",1905,1945,10765,,crime,1945,f,teamred | chimyst,New York C,,us,,1963.239196,,Mystery fi,The innocent flower,1.15058555
25,1929,"Lewis, Sinclair,",1885,1929,10312,,non_genre,1929,m,chirandom | teamblack,New York H,,us,,1947.184421,,Retired ex,Dodsworth,1.146973852
537,1914,"Seymour, St. John D.",,1914,inu.39000005852087,,gothic,1914,m,teamred | locghost,Dublin;Hod,,,2608863,1931.965981,1277225,Ireland;Gh,True Irish ghost stories,1.132570497
0,1923,"Burroughs, Edgar Rice,",1875,1923,10008,,scifi,1923,m,teamred | chiscifi | stew,Chicago A.,,us,,1940.961636,,Science fi,Pellucidar,1.132283992
850,1911,"Lummis, Charles Fletcher,",1859,1911,uc2.ark+=13960=t3xs5jt7k,,non_genre,1911,m,teamred | random,Chicago;A.,PZ3.L97Go2,us,4153323,1928.915498,7665238,,The gold fish of Gran Chi,1.129241766
466,1920,"Stringer, Arthur,",1874,1920,4497,,non_genre,1920,m,chirandom | teamred,New York G,,us,,1937.85379,,,The prairie omnibus,1.125172911
821,1845,"Poe, Edgar Allan,",1809,1909,uc2.ark+=13960=t0bv79z1x,,crime,1845,m,det100 | teamblack | drop,London;Sid,,us,2612191,1862.830668,7682514,,Selected tales of mystery,1.123648324
842,1851,"Hawthorne, Nathaniel,",1804,1883,uc2.ark+=13960=t2r49vz0v,,gothic,1851,m,teamblack | pbgothic,Boston;Hou,,us,8198683,1868.729608,7699745,,The house of the seven ga,1.116984673
880,1909,"Rinehart, Mary Roberts,",1876,1909,uc2.ark+=13960=t83j39v3z,,crime,1909,f,det100 | teamblack,New York;G,,us,37033520,1926.457617,7649263,,The man in lower ten,1.099050338
102,1925,"Ford, Ford Madox,",1873,1925,11022,,non_genre,1925,m,chirandom | teamred,New York A,,uk,,1942.279813,,Great Brit,No more parades,1.087326429
697,1865,"Williams, John Babbington",1827,1865,nyp.33433074929393,,crime,1865,m,teamred | locdetective | stew,New York;D,,us,25494127,1882.20665,8663988,Detectives,Leaves from the note-book,1.082502279
502,1891,"Wilde, Oscar,",1854,1908,coo.31924014157121,,gothic,1891,m,teamblack | pbgothic,New York;B,,ir,18107497,1908.149604,11406079,,The picture of Dorian Gra,1.078740805
39,1934,"Dickson, Carter,",1906,1934,10435,,crime,1934,m,chirandom | teamred | chimyst,New York W,,us,,1950.750669,,"Merrivale,",The Plague court murders,1.052436125
817,1888,"Kipling, Rudyard,",1865,1899,uc1.b4104961,,gothic,1888,m,teamred | pbgothic,New York;H,,uk,5772680,1904.702719,590565,,The phantom rickshaw,1.049274432
46,1937,"Steinbeck, John,",1902,1937,10531,,non_genre,1937,m,chirandom | teamred,New York Modern library 1937,,us,,1953.6861,743,Fiction in English;California;Ranch life;,Of mice and men,1.048178612
960,1865,"Ouida,",1839,1877,wu.89099780959,,sensation,1865,f,teamred | sensation | stew,Philadelphia,,uk,,1881.681502,,,Strathmore,1.047875428
699,1832,"Disraeli, Benjamin,",1804,1832,nyp.33433074937438,v. 1,non_genre,1832,m,teamblack | random,New York;H,,uk,13242846,1848.647118,8664338,English fi,Contarini Fleming;,1.045608227
279,1966,"Herbert, Frank,",,1966,20694,,scifi,1966,m,teamred | chiscifi,New York B,,us,,1982.55463,,Science fi,The eyes of Heisenberg,1.039509828
206,1952,"Powell, Richard,",1908,1952,20075,,crime,1952,m,chirandom | teamblack | chimyst,New York S,,us,,1968.476721,,Mystery fi,A shot in the dark,1.034372765
809,1906,"Blackwood, Algernon,",1869,1915,uc1.b3578940,,gothic,1906,m,teamblack | pbgothic | stew,London;Eve,,uk,15217345,1922.437033,6678263,,The empty house,1.03175582
44,1937,"Bristow, Gwen,",1903,1937,10514,,non_genre,1937,f,chirandom | teamblack,New York T,,us,,1952.999021,,Plantation,Deep summer,1.002874476
26,1930,"Hammett, Dashiell,",1894,1930,10330,,crime,1930,m,hardboiled | det100 | teamblack | chimyst,New York; ,,us,,1945.950176,,Mystery fi,The Maltese falcon,0.999653812
562,1820,"Maturin, Charles Robert,",1782,1892,mdp.39015021039998,v.2,gothic,1820,m,teamblack | pbgothic,London;R. ,,ir,4418502,1835.856074,1910357,,Melmoth the wanderer,0.99344895
614,1853,"BrontÃ«, Charlotte,",1816,1905,mdp.49015001286492,,gothic,1853,f,teamblack | pbgothic,London;Smi,,uk,78080726,1868.793532,4511771,,Villette,0.989325136
959,1898,"Bangs, John Kendrick,",1862,1898,wu.89069113231,,gothic,1898,m,teamred | locghost | stew,New York;H,,us,37709241,1913.718493,8995075,Ghost stor,Ghosts I have met and som,0.984377222
496,1907,"Freeman, R. Austin,",1862,1907,RedThumbMark,,crime,1907,m,det100 | teamblack,,,uk,,1922.718315,,,The Red Thumb Mark,0.984365539
915,1828,"Gaspey, Thomas,",1788,1828,uiuo.ark+=13960=t44q88m18,v.1,crime,1828,m,newgate | teamblack,London;H. ,,m,13323862,1843.4984,8720331,,History of George Godfrey,0.969864923
544,1799,"Godwin, William,",1756,1832,mdp.39015003931113,,gothic,1799,m,teamred | pbgothic,London;H. ,,uk,62082920,1814.487298,392197,,St. Leon: a tale of the s,0.969132896
22,1929,"Burroughs, Edgar Rice,",1875,1929,10301,,scifi,1929,m,teamred | chiscifi | stew,New York A,,us,,1944.451792,,Science fi,Tanar of Pellucidar,0.966791742
187,1949,"Ferrars, E. X,",,1949,11882,,crime,1949,,chirandom | teamred | chimyst,Garden Cit,,uk,,1964.424911,,,The March Hare murders,0.965019254
60,1943,"Queen, Ellery,",,1943,10723,,crime,1943,m,teamred | det100 | chimyst | cozy | stew,Boston Lit,,us,,1958.361707,,Mystery fi,There was an old woman,0.960851723
246,1960,"Vance, Jack,",1916,1960,20433,,crime,1960,m,teamred | chimyst,New York R,,us,,1975.354749,,Mystery fi,The man in the cage,0.960392932
774,1911,"Chesterton, G. K.",1874,1911,uc1.32106001930137,,crime,1911,m,teamred | det100 | locdetmyst,New York;J,,uk,993828,1926.34618,7123380,Clergy;Cat,The innocence of Father B,0.959827945
198,1951,"MacDonald, John D.",1916,1951,20021,,scifi,1951,m,teamblack | chiscifi | stew,New York G,,us,,1966.269141,,Science fi,Wine of the dreamers,0.954748225
677,1888,"Kipling, Rudyard,",1865,1898,nyp.33433074866686,,gothic,1888,m,teamblack | pbgothic | stew,Philadelph,,uk,421426,1903.264516,6156115,,Plain tales from the hill,0.954443226
314,1971,"Pronzini, Bill,",1943,1971,20982,,crime,1971,m,teamred | chimyst,New York R,,us,,1986.261787,,Mystery fi,The stalker,0.954263308
67,1945,"Hughes, Dorothy B. 1904- ",1904,1945,10778,,crime,1945,f,hardboiled | teamblack | chimyst,"Cleveland,",,us,,1960.235326,,Band direc,Dread journey,0.952518504
782,1803,Anonymous7,,1803,uc1.b248234,v.1-2,non_genre,1803,,teamblack | random,London;Printed by the Philanthropic Society for W.J. and J. Richardson;1803.,,,30211695,1818.08795,6501224,,"Barbara Markham; or, The profligate requited;",0.942800985
955,1880,"Aldrich, Thomas Bailey,",1836,1897,uva.x030832557,v.6 1897,crime,1880,m,teamred | det100,Boston;Hou,,us,21269234,1895.027454,9782899,,The stillwater tragedy,0.938812012
954,1880,"Scudder, Horace Elisha,",1838,1880,uva.x030743237,,non_genre,1880,m,teamblack | random,Boston;Hou,PZ7.S437Do4,us,46702875,1895.000011,9776611,,Doings of the Bodley fami,0.937002534
199,1951,"Merwin, Sam,",1910,1951,20026,,scifi,1951,m,chirandom | teamred | chiscifi,Garden Cit,,us,,1965.958832,,Science fi,The house of many worlds,0.934287252
888,1858,"MacDonald, George,",1824,1874,uc2.ark+=13960=t9862rx2r,v.2,gothic,1858,m,teamblack | pbgothic,London;Dal,,uk,78798411,1872.948363,7705645,,Phantastes,0.933596978
803,1826,"Radcliffe, Ann Ward,",1764,1826,uc1.b3575696,v.1,gothic,1826,f,teamblack | pbgothic,London;H. ,,uk,2810804,1840.852573,6677558,History;He,Gaston de Blondeville,0.92728082
576,1785,"Lee, Sophia,",1750,1804,mdp.39015039369650,v.2,gothic,1785,f,teamblack | pbgothic | stew,London;T. ,,uk,32136573,1799.824119,167757,,The recess;,0.925404635
116,1923,"Le Queux, William,",1864,1923,11109,,crime,1923,m,teamred | chimyst,New York M,,uk,,1937.778299,,Mystery fi,The voice from the void,0.922383421
756,1907,"Hope, Laura Lee.",,1907,nyp.33433082332010,,crime,1907,f,teamred | locdetmyst | juvenile | drop,New York;G,PS3515.O585B603 1907,,9613473,1921.766912,5104160,Seashore;B,The Bobbsey twins at the ,0.921632621
548,1841,"Dickens, Charles,",1812,1908,mdp.39015004880715,,gothic,1841,m,teamblack | pbgothic | stew,London;New,,uk,26687518,1855.719788,540357,,The old curiosity shop,0.918525355
646,1843,"Poe, Edgar Allan,",1809,1884,njp.32101068601341,,gothic,1843,m,teamred | pbgothic,Leipzig;B.,,us,6629051,1857.460368,8973659,,Tales by Edgar Allan Poe,0.901419944
146,1932,"Evans, Margiad,",1909,1932,11364,,non_genre,1932,f,chirandom | teamred,London Art,,uk,,1946.416749,,English fi,Country dance,0.898543811
242,1960,"MacInnes, Helen,",1907,1960,20414,,non_genre,1960,f,chirandom | teamblack,New York H,,us,,1974.387357,,Conspiraci,Decision at Delphi,0.896605801
253,1962,"Garrett, Randall,",1927,1962,20496,,scifi,1962,m,teamred | chiscifi | stew,Garden Cit,,us,,1976.374733,,Science fi,Unwise child,0.895773374
250,1962,"Bradbury, Ray,",1920,1962,20480,,multi,1962,m,teamblack | chihorror | chiscifi,New York S,,us,,1976.333073,,Illinois;H,Something wicked this way,0.893026458
336,1976,"Butler, Octavia E,",1947,1976,21304,,scifi,1976,f,teamred | chifantasy | chiscifi,Garden Cit,,us,,1990.258322,,Science fi,Patternmaster,0.888097521
370,1979,"Braverman, Kate,",1950,1979,21603,,non_genre,1979,f,chirandom | teamblack,New York H,,us,,1993.241136,,Los Angele,Lithium for Medea,0.886964343
656,1794,"Moser, Joseph,",1748,1794,nnc1.1002330709,v.2,non_genre,1794,m,teamred | random,London;179,,uk,35122360,1808.213514,8405386,,Turkish tales,0.885143027
570,1834,"Ainsworth, William Harris",1805,1878,mdp.39015030996832,,multi,1834,m,teamred | newgate | stangothic,London;New,,uk,16389250,1848.094597,42246,,Rookwood,0.877301956
36,1932,"Dos Passos, John,",1896,1932,10377,,non_genre,1932,m,chirandom | teamred,New York H,,us,,1946.093073,,Influence ,1919,0.877201452
214,1953,"Pangborn, Edgar,",1909,1953,20114,,scifi,1953,m,chirandom | teamblack | chiscifi | stew,Garden Cit,,us,,1966.968029,,Science fi,West of the sun,0.868956407
497,1897,"Stoker, Bram,",1847,1897,StokerDracula1897,,gothic,1897,m,teamblack | pbgothic | stew,,,ir,,1910.920608,,,Dracula,0.865829634
572,1913,"Beresford, J. D.",1873,1913,mdp.39015031332862,,scifi,1913,m,teamred | anatscifi,London;W. ,PZ3.B45G,uk,8415311,1926.878422,472226,,Goslings,0.863047995
875,1844,"Dickens, Charles,",1812,1844,uc2.ark+=13960=t7hq42c97,,non_genre,1844,m,teamblack | random,Philadelph,,uk,5369471,1857.850706,6672945,,Martin Chuzzlewit,0.86122044
72,1946,"Sherman, Harold M.",1898,1946,10827,,scifi,1946,m,teamblack | chiscifi | stew,Chicago Ce,,us,,1959.803556,,Science fi,The green man,0.858111546
493,1845,"Poe, Edgar Allan,",1809,1845,PoePurloinedLetter1845,,crime,1845,m,teamred | det100, , ,us, ,1858.727012, ,,The Purloined Letter (short story),0.853064433
