index,author,viaf_author_uri,title,date,gutenberg_id,genre,source,wc1,wc2,underwood_id,underwood_filename
15,"Arbuthnot, John, 1667-1735",http://viaf.org/viaf/51684915,AN INVITATION TO PEACE: OR TOBY's Preliminaries TO NESTOR IRONSIDES Set forth in a DIALOGUE Between TOBY and his KINSMAN.,1713,,fic,ecc,4563,4188,ArbuJIT,K082366.000.txt
16,"Congreve, William, 1670-1729",http://viaf.org/viaf/24616924,INCOGNITA: OR LOVE AND DUTY RECONCIL'D. A NOVEL.,1713,,fic,ecc,22794,21573,CongWIO,K004609.000.txt
17,"Arbuthnot, John, 1667-1735",http://viaf.org/viaf/51684915,A Farther Continuation OF THE HISTORY OF THE Crown-Inn.,1714,,fic,ecc,3907,3662,ArbuJFC,K004738.000.txt
18,"Arbuthnot, John, 1667-1735",http://viaf.org/viaf/51684915,A CONTINUATION OF THE HISTORY OF THE Crown-Inn: With CHARACTERS of some of the late SERVANTS; And the PROCEEDING of the TRUSTEES To the Coming of the New LANDLORD.,1714,,fic,ecc,3337,3119,ArbuJCH,K009653.000.txt
19,"Arbuthnot, John, 1667-1735",http://viaf.org/viaf/51684915,A POSTSCRIPT TO JOHN BULL Containing the HISTORY of the Crown-Inn With the DEATH of the WIDOW And what happened thereon.,1714,,fic,ecc,4141,3905,ArbuJPT,K042411.000.txt
20,"Butler, Sarah, Mrs",http://viaf.org/viaf/26918222,Irish TALES: OR Instructive HISTORIES for the happy Conduct of LIFE.,1716,,fic,ecc,19844,18645,ButlSIT,K095553.000.txt
21,"Ovid, 43 B.C.-17 or 18 A.D",http://viaf.org/viaf/88342447,OVID's METAMORPHOSES IN FIFTEEN BOOKS. Translated by the most Eminent HANDS.,1717,,fic,ecc,141259,132107,Ovid4OM,K087416.000.txt
22,"Defoe, Daniel, 1661?-1731",http://viaf.org/viaf/39375774,THE LIFE AND STRANGE SURPRIZING ADVENTURES OF ROBINSON CRUSOE Of YORK MARINER: Who lived Eight and Twenty Years all alone in an un-inhabited Island on the Coast of AMERICA near the Mouth of the Great River of OROONOQUE; Having been cast on Shore by Shipwreck wherein all the Men perished but himself.,1719,,fic,ecc,123262,114079,DefoDLS,K061280.000.txt
23,"Defoe, Daniel, 1661?-1731",http://viaf.org/viaf/39375774,THE FARTHER ADVENTURES OF ROBINSON CRUSOE; Being the Second and Last Part OF HIS LIFE And of the STRANGE SURPRIZING ACCOUNTS of his TRAVELS Round three Parts of the Globe.,1719,,fic,ecc,114531,108551,DefoDFA,K018256.000.txt
24,"Defoe, Daniel, 1661?-1731",http://viaf.org/viaf/39375774,THE FORTUNES AND MISFORTUNES Of the FAMOUS Moll Flanders &c.,1721,,fic,ecc,139327,129467,DefoDFM,K059793.000.txt
25,"Aulnoy, Madame d' (Marie-Catherine), 1650 or 51-1705",,THE HISTORY OF JOHN of BOURBON Prince of CARENCY. CONTAINING A Variety of entertaining NOVELS VIZ.1. The Surprize or the Generous Unknown.2. The Mutual Mistake or The Unhappy Discovery.3. The Secret Rival or the Deceitful Friend.4. The Perfidious Lady disappointed or the Happy Reconciliation.5. The Slighted Passion or the Fatal Resentment.6. The Unfortunate Lover.7. The Female Captives.8. The Distressed Lovers.9. The Revengeful Rival.10. The Happy Meeting or Constant Love Rewarded.,1724,,fic,ecc,97540,90958,AulnMHJ,K016468.000.txt
26,"Carey, Henry, 1687?-1743",http://viaf.org/viaf/14965532,A Learned Dissertation ON DUMPLING; Its Dignity Antiquity and Excellence. With a Word upon PUDDING. AND Many other Useful Discoveries of great Benefit to the Publick.,1726,,fic,ecc,6300,5789,CareHLD,K099473.000.txt
27,"Swift, Jonathan, 1667-1745",http://viaf.org/viaf/14777110,Gulliver's Travels into Several Remote Nations of the World,1726,,fic,ecc,104516,97265,SwifJGT,SwifJGT.txt
28,"Carey, Henry, 1687?-1743",http://viaf.org/viaf/14965532,Pudding and Dumpling Burnt to POT. OR A COMPLEAT KEY TO THE DISSERTATION ON DUMPLING. WHEREIN All the MYSTERY of that dark Treatise is brought to Light; in such a Manner and Method that the meanest Capacity may know who and who's together.,1727,,fic,ecc,4548,4098,CareHPD,K043587.000.txt
29,"Pope, Alexander, 1688-1744",http://viaf.org/viaf/61551003,THE HISTORY OF THE NORFOLK STEWARD CONTINUED.,1728,,fic,ecc,4322,4099,PopeAHN,K000924.000.txt
30,"Cibber, Theophilus, 1703-1758",http://viaf.org/viaf/15116762,FOUR ORIGINAL LETTERS VIZ. Two from a HUSBAND to a GENTLEMAN: AND Two from a HUSBAND to a WIFE.,1739,,fic,ecc,10211,9491,CibbTFO,K002662.000.txt
31,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,PAMELA: OR VIRTUE Rewarded. In a SERIES of FAMILIAR LETTERS FROM A Beautiful Young DAMSEL To her PARENTS. Now first Published In order to cultivate the Principles of VIRTUE and RELIGION in the Minds of the YOUTH of BOTH SEXES.,1741,,fic,ecc,104139,96265,RichSPO3,K089370.001.txt
32,"Pope, Alexander, 1688-1744",http://viaf.org/viaf/61551003,MEMOIRS Of the Extraordinary LIFE WORKS AND DISCOVERIES OF MARTINUS SCRIBLERUS.,1741,,fic,ecc,28485,26620,PopeAME2,K023147.000.txt
33,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,PAMELA: OR Virtue Rewarded. In a SERIES of FAMILIAR LETTERS From a Beautiful Young DAMSEL to her PARENTS: And afterwards In her EXALTED CONDITION BETWEEN HER and Persons of Figure and Quality UPON THE MOST Important and Entertaining Subjects In GENTEEL LIFE.,1742,,fic,ecc,131206,122374,RichSPO,K089369.003.txt
34,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,PAMELA; OR VIRTUE Rewarded. In a SERIES of FAMILIAR LETTERS From a Beautiful Young DAMSEL to her PARENTS: And afterwards In her EXALTED CONDITION BETWEEN HER and Persons of Figure and Quality UPON THE MOST Important and Entertaining Subjects In GENTEEL LIFE.,1742,,fic,ecc,144363,134966,RichSPO2,K089369.004.txt
35,"Haywood, Eliza, 1693-1756",http://viaf.org/viaf/64027723,The Fortunate Foundlings,1744,,fic,ecc,102702,98283,HaywEFF,HaywEFF.txt
36,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,CLARISSA. OR THE HISTORY OF A YOUNG LADY: Comprehending The most Important Concerns of Private LIFE And particularly shewing The DISTRESSES that may attend the Misconduct Both of PARENTS and CHILDREN In Relation to MARRIAGE. Published by the EDITOR of PAMELA. VOL. IV.,1748,,fic,ecc,118071,110252,RichSCO3,K051638.004.txt
37,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,CLARISSA. OR THE HISTORY OF A YOUNG LADY: Comprehending The most Important Concerns of Private LIFE; And particularly shewing The DISTRESSES that may attend the Misconduct Both of PARENTS and CHILDREN In Relation to MARRIAGE. Published by the EDITOR of PAMELA. VOL. VII.,1748,,fic,ecc,164912,155019,RichSCO4,K051638.007.txt
38,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,CLARISSA. OR THE HISTORY OF A YOUNG LADY: Comprehending The most Important Concerns of Private LIFE. And particularly shewing The DISTRESSES that may attend the Misconduct Both of PARENTS and CHILDREN In Relation to MARRIAGE. Published by the EDITOR of PAMELA. VOL. I.,1748,,fic,ecc,105832,99554,RichSCO,K051638.001.txt
39,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,CLARISSA. OR THE HISTORY OF A YOUNG LADY: Comprehending The most Important Concerns of Private LIFE. And particularly shewing The DISTRESSES that may attend the Misconduct Both of PARENTS and CHILDREN In Relation to MARRIAGE. Published by the EDITOR of PAMELA. VOL. II.,1748,,fic,ecc,101339,95126,RichSCO2,K051638.002.txt
40,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,CLARISSA.,1748,,fic,ecc,119237,111576,RichSC,K051638.003.txt
41,"Smollett, Tobias George, 1721-1771",http://viaf.org/viaf/68935985,THE ADVENTURES OF Roderick Random.,1748,,fic,ecc,95467,88982,SmolTAR,K049357.001.txt
42,"Smollett, Tobias George, 1721-1771",http://viaf.org/viaf/68935985,THE ADVENTURES OF Roderick Random.,1748,,fic,ecc,103427,96311,SmolTAR2,K049357.002.txt
43,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,CLARISSA. OR THE HISTORY OF A YOUNG LADY: Comprehending The most Important Concerns of Private LIFE; And particularly shewing The DISTRESSES that may attend the Misconduct Both of PARENTS and CHILDREN In Relation to MARRIAGE.,1748,,fic,ecc,123908,115753,RichSCO5,K051638.005.txt
44,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,CLARISSA.,1748,,fic,ecc,149998,140625,RichSC2,K051638.006.txt
45,"Fielding, Henry, 1707-1754",http://viaf.org/viaf/61545697,THE HISTORY OF TOM JONES A FOUNDLING.,1749,,fic,ecc,132154,125014,FielHHT2,K021151.002.txt
46,"Fielding, Henry, 1707-1754",http://viaf.org/viaf/61545697,THE HISTORY OF TOM JONES A FOUNDLING.,1749,,fic,ecc,104832,99797,FielHHT,K021151.001.txt
47,"Fielding, Henry, 1707-1754",http://viaf.org/viaf/61545697,THE HISTORY OF TOM JONES A FOUNDLING.,1749,,fic,ecc,115548,108248,FielHHT3,K021151.003.txt
48,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,LETTERS and PASSAGES RESTORED From the Original Manuscripts OF THE History of CLARISSA. To which is subjoined A Collection of such of the Moral and Instructive SENTIMENTS CAUTIONS APHORISMS REFLECTIONS and OBSERVATIONS contained in the History as are presumed to be of general Use and Service. Digested under Proper HEADS.,1751,,fic,ecc,106102,98937,RichSLP,K051639.008.txt
49,"Lennox, Charlotte, ca. 1729-1804",http://viaf.org/viaf/100288562,THE Female QUIXOTE; OR THE ADVENTURES OF ARABELLA. In TWO VOLUMES. VOL. II.,1752,,fic,ecc,79547,75551,LennCFQ2,K060946.002.txt
50,"Lennox, Charlotte, ca. 1729-1804",http://viaf.org/viaf/100288562,THE Female QUIXOTE; OR THE ADVENTURES OF ARABELLA. In TWO VOLUMES. VOL. I.,1752,,fic,ecc,69340,66556,LennCFQ,K060946.001.txt
51,"Lennox, Charlotte, ca. 1729-1804",http://viaf.org/viaf/100288562,Shakespear Illustrated: OR THE NOVELS and HISTORIES On which the PLAYS of SHAKESPEAR Are Founded COLLECTED and TRANSLATED from the ORIGINAL AUTHORS. WITH CRITICAL REMARKS. BY THE Author of the FEMALE QUIXOTE. VOL. II.,1753,,fic,ecc,54028,50202,LennCSI2,K109095.002.txt
52,"Lennox, Charlotte, ca. 1729-1804",http://viaf.org/viaf/100288562,Shakespear Illustrated: OR THE NOVELS and HISTORIES On which the PLAYS of SHAKESPEAR Are Founded COLLECTED and TRANSLATED from the ORIGINAL AUTHORS. WITH CRITICAL REMARKS. In TWO VOLUMES. BY THE Author of the FEMALE QUIXOTE.,1753,,fic,ecc,68639,65341,LennCSI,K109095.001.txt
53,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,THE HISTORY OF Sir CHARLES GRANDISON. IN A SERIES of LETTERS Published from the ORIGINALS By the Editor of PAMELA and CLARISSA.,1753,,fic,ecc,139257,126608,RichSHS7,K016527.007.txt
54,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,THE HISTORY OF Sir CHARLES GRANDISON. IN A SERIES of LETTERS Published from the ORIGINALS By the Editor of PAMELA and CLARISSA.,1753,,fic,ecc,104065,97637,RichSHS,K016527.001.txt
55,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,THE HISTORY OF Sir CHARLES GRANDISON. IN A SERIES of LETTERS Published from the ORIGINALS By the Editor of PAMELA and CLARISSA.,1753,,fic,ecc,115931,108745,RichSHS2,K016527.002.txt
56,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,THE HISTORY OF Sir CHARLES GRANDISON. IN A SERIES of LETTERS Published from the ORIGINALS By the Editor of PAMELA and CLARISSA.,1753,,fic,ecc,122304,114455,RichSHS3,K016527.003.txt
57,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,THE HISTORY OF Sir CHARLES GRANDISON. IN A SERIES of LETTERS Published from the ORIGINALS By the Editor of PAMELA and CLARISSA.,1753,,fic,ecc,96486,90553,RichSHS5,K016527.005.txt
58,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,THE HISTORY OF Sir CHARLES GRANDISON.,1753,,fic,ecc,121298,114192,RichSHS6,K016527.006.txt
59,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,THE HISTORY OF Sir CHARLES GRANDISON. IN A SERIES of LETTERS Published from the ORIGINALS By the Editor of PAMELA and CLARISSA.,1753,,fic,ecc,98748,92689,RichSHS4,K016527.004.txt
60,"Lennox, Charlotte, ca. 1729-1804",http://viaf.org/viaf/100288562,Shakespear Illustrated: OR THE NOVELS and HISTORIES On which the PLAYS of SHAKESPEAR Are Founded COLLECTED and TRANSLATED from the ORIGINAL AUTHORS. WITH CRITICAL REMARKS. The THIRD and LAST VOLUME. BY THE Author of the FEMALE QUIXOTE.,1754,,fic,ecc,61453,58255,LennCSI3,K109708.003.txt
61,"Richardson, Samuel, 1689-1761",http://viaf.org/viaf/41845728,A COLLECTION Of the Moral and Instructive SENTIMENTS MAXIMS CAUTIONS and REFLEXIONS Contained in the Histories of PAMELA CLARISSA and Sir CHARLES GRANDISON.,1755,,fic,ecc,133860,113988,RichSCM,K051641.000.txt
62,"Charke, Charlotte, 1713-1760",http://viaf.org/viaf/34689258,THE MERCER OR Fatal Extravagance: BEING A TRUE NARRATIVE Of the LIFE of Mr. Wm. DENNIS.,1755,,fic,ecc,5494,5279,CharCMO,K059103.000.txt
63,"Amory, Thomas, 1691?-1788?",http://viaf.org/viaf/308901772,THE LIFE OF JOHN BUNCLE Esq CONTAINING Various OBSERVATIONS and REFLECTIONS Made in several Parts of the WORLD; AND Many extraordinary RELATIONS.,1756,,fic,ecc,131961,122367,AmorTLJ,K087079.000.txt
64,"Lennox, Charlotte, ca. 1729-1804",http://viaf.org/viaf/100288562,THE MEMOIRS OF THE Countess of BERCI.,1756,,fic,ecc,55478,52565,LennCMC2,K103915.002.txt
65,"Lennox, Charlotte, ca. 1729-1804",http://viaf.org/viaf/100288562,THE MEMOIRS OF THE Countess of BERCI.,1756,,fic,ecc,72212,69681,LennCMC,K103915.001.txt
66,"Griffith, Richard, d. 1788",http://viaf.org/viaf/65382386,A SERIES of Genuine LETTERS BETWEEN HENRY AND FRANCES.,1757,,fic,ecc,73817,68772,GrifRSG2,K093988.002.txt
67,"Griffith, Richard, d. 1788",http://viaf.org/viaf/65382386,A SERIES of Genuine LETTERS BETWEEN HENRY AND FRANCES.,1757,,fic,ecc,68086,63209,GrifRSG,K093988.001.txt
68,"Charke, Charlotte, 1713-1760",http://viaf.org/viaf/34689258,THE LOVER'S TREAT: OR Unnatural Hatred. BEING A True NARRATIVE as deliver'd to the Author by one of the Family who was principally concern'd in the following Account.,1758,,fic,ecc,13488,12827,CharCLT,K058426.000.txt
69,"Lennox, Charlotte, ca. 1729-1804",http://viaf.org/viaf/100288562,HENRIETTA.,1758,,fic,ecc,62091,59076,LennCH2,K061206.002.txt
70,"Lennox, Charlotte, ca. 1729-1804",http://viaf.org/viaf/100288562,HENRIETTA.,1758,,fic,ecc,47910,45103,LennCH,K061206.001.txt
71,"Sterne, Laurence, 1713-1768",http://viaf.org/viaf/61552699,A Political Romance Addressed To  Esq OF YORK. To which is subjoined a KEY.,1759,,fic,ecc,8539,8188,SterLPR,K007192.000.txt
72,"Johnson, Samuel, 1709-1784",http://viaf.org/viaf/7406725,"The History of Rasselas, Prince of Abyssinia",1759,,fic,ecc,36994,35525,JohnSRP,JohnSRP.txt
73,,,THE Lady's Museum,1760,,fic,ecc,100413,96189,Anon60LM,K019745.001.txt
74,,,THE LADY'S MUSEUM.,1760,,fic,ecc,115336,109939,Anon60LM2,K019745.002.txt
75,"Sterne, Laurence, 1713-1768",http://viaf.org/viaf/61552699,THE LIFE AND OPINIONS OF TRISTRAM SHANDY GENTLEMAN.,1760,,fic,ecc,24004,22315,SterLLO,K027697.001.txt
76,"Stevens, George Alexander, 1710-1784",http://viaf.org/viaf/47604020,THE HISTORY OF TOM FOOL.,1760,,fic,ecc,49738,46386,StevGHT,K060545.002.txt
77,"Sterne, Laurence, 1713-1768",http://viaf.org/viaf/61552699,THE LIFE AND OPINIONS OF TRISTRAM SHANDY GENTLEMAN.,1760,,fic,ecc,23909,22465,SterLLO2,K027697.002.txt
78,"Macklin, Charles, 1697?-1797",http://viaf.org/viaf/304391045,A SCOTSMAN'S REMARKS On the FARCE of LOVE A LA MODE SCENE by SCENE. As it is acted at the THEATRE ROYAL in Drury Lane.,1760,,fic,ecc,6513,5969,MackCSR,K044298.000.txt
79,"Sterne, Laurence, 1713-1768",http://viaf.org/viaf/61552699,EXPLANATORY REMARKS UPON THE LIFE AND OPINIONS OF TRISTRAM SHANDY; WHEREIN The MORALS and POLITICS of this PIECE are clearly laid open By JEREMIAH KUNASTROKIUS M. D.,1760,,fic,ecc,6585,6056,SterLER,K102171.000.txt
80,"Sterne, Laurence, 1713-1768",http://viaf.org/viaf/61552699,YORICK's MEDITATIONS UPON VARIOUS Interesting and Important SUBJECTS. VIZ.Upon NOTHING.Upon SOMETHING.Upon the THING.Upon the CONSTITUTION.On TOBACCO.On NOSES.Upon QUACKS.Upon MIDWIVES.Upon the HOMUNCULUS.Upon HOBBY-HORSES.Upon MOMUS'S GLASS.Upon DIGRESSIONS.On OBSCURITY in Writing.On NONSENSE.Upon the ASSOCIATION of IDEAS.Upon CUCKOLDS.Upon the MAN in the MOON.Upon the MONADES of LEIBNITZ.Upon Virtu.Upon CONSCIENCE.Upon DRUNKENNESS.Upon a CLOSE-STOOLMEDITATION upon MEDITATIONS.,1760,,fic,ecc,12563,11747,SterLYM,K102172.000.txt
81,"Hawkesworth, John, 1715?-1773",http://viaf.org/viaf/85970662,EDGAR and EMMELINE: A FAIRY TALE.,1761,,fic,ecc,10648,9755,HawkJEE,K035521.000.txt
82,"Hawkesworth, John, 1715?-1773",http://viaf.org/viaf/85970662,ALMORAN AND HAMET: AN ORIENTAL TALE.,1761,,fic,ecc,18329,17423,HawkJAH2,K058583.002.txt
83,"Hawkesworth, John, 1715?-1773",http://viaf.org/viaf/85970662,ALMORAN AND HAMET: AN ORIENTAL TALE.,1761,,fic,ecc,16520,15776,HawkJAH,K058583.001.txt
84,"Macpherson, James, 1736-1796",http://viaf.org/viaf/100201047,FINGAL AN ANCIENT EPIC POEM In SIX BOOKS: Together with several other POEMS composed by OSSIAN the Son of FINGAL.,1762,,fic,ecc,91342,84883,MacpJFA2,K105084.000.txt
85,"Lennox, Charlotte, ca. 1729-1804",http://viaf.org/viaf/100288562,SOPHIA. BY Mrs. CHARLOTTE LENNOX.,1762,,fic,ecc,29232,28220,LennCSB,K057507.001.txt
86,"Lennox, Charlotte, ca. 1729-1804",http://viaf.org/viaf/100288562,SOPHIA.,1762,,fic,ecc,28335,27405,LennCS,K057507.002.txt
87,"Goldsmith, Oliver, 1728-1774",http://viaf.org/viaf/100167171,THE CITIZEN of the WORLD; OR LETTERS FROM A CHINESE PHILOSOPHER Residing in LONDON TO HIS FRIENDS in the EAST.,1762,,fic,ecc,67941,64309,GoldOCW2,K001334.002.txt
88,"Goldsmith, Oliver, 1728-1774",http://viaf.org/viaf/100167171,THE CITIZEN of the WORLD; OR LETTERS FROM A CHINESE PHILOSOPHER Residing in LONDON TO HIS FRIENDS in the EAST.,1762,,fic,ecc,75427,71488,GoldOCW,K001334.001.txt
89,"Goldsmith, Oliver, 1728-1774",http://viaf.org/viaf/100167171,THE CITIZEN of the WORLD; OR LETTERS FROM A CHINESE PHILOSOPHER Residing in LONDON TO HIS FRIENDS in the EAST.,1762,,fic,ecc,66229,62585,GoldOCW4,K113552.002.txt
90,"Goldsmith, Oliver, 1728-1774",http://viaf.org/viaf/100167171,THE CITIZEN of the WORLD; OR LETTERS FROM A CHINESE PHILOSOPHER Residing in LONDON TO HIS FRIENDS in the EAST.,1762,,fic,ecc,77368,73322,GoldOCW3,K113552.001.txt
91,"Macpherson, James, 1736-1796",http://viaf.org/viaf/100201047,THE BATTLE of LORA. A POEM WITH Some FRAGMENTS written in the ERSE or IRISH LANGUAGE BY OSSIAN the SON of FINGAL.,1762,,fic,ecc,5772,5412,MacpJBL,K009746.000.txt
92,"Brooke, Frances, 1724?-1789",http://viaf.org/viaf/5193747,THE HISTORY OF Lady Julia Mandeville.,1763,,fic,ecc,28363,26620,BrooFHL2,K056178.002.txt
93,"Brooke, Frances, 1724?-1789",http://viaf.org/viaf/5193747,THE HISTORY OF Lady Julia Mandeville.,1763,,fic,ecc,32815,30747,BrooFHL,K056178.001.txt
94,"Gentleman, Francis, 1728-1784",http://viaf.org/viaf/18293409,A TRIP to the MOON. Containing an Account of the ISLAND of NOIBLA. Its INHABITANTS RELIGIOUS and POLITICAL CUSTOMS &c.,1764,,fic,ecc,28845,27186,GentFTT,K099545.000.txt
95,"Gentleman, Francis, 1728-1784",http://viaf.org/viaf/18293409,THE HISTORY OF The Robinhood Society. IN WHICH THE ORIGIN OF THAT ILLUSTRIOUS BODY of MEN is traced; The Method of managing their DEBATES is shewn; The MEMOIRS of the various Members that compose it are given; And some ORIGINAL SPEECHES as Specimens of their Oratorical Abilities are recorded. Chiefly compiled from Original Papers.,1764,,fic,ecc,44320,42052,GentFHR,K091832.000.txt
96,"Walpole, Horace, 1717-1797",http://viaf.org/viaf/17231985,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,1764,,fic,ecc,36201,34368,WalpHCO,K054688.000.txt
97,"Walpole, Horace, 1717-1797",http://viaf.org/viaf/17231985,THE CASTLE of OTRANTO A STORY.,1765,,fic,ecc,36229,34353,WalpHCO2,K080865.000.txt
98,"Cradock, Joseph, 1742-1826",http://viaf.org/viaf/29870593,VILLAGE MEMOIRS: In a SERIES of LETTERS BETWEEN A CLERGYMAN and his Family in the Country and his SON in Town.,1765,,fic,ecc,21672,20199,CradJVM,K103261.000.txt
99,"Goldsmith, Oliver, 1728-1774",http://viaf.org/viaf/100167171,THE VICAR OF WAKEFIELD: A TALE. Supposed to be written by HIMSELF.,1766,,fic,ecc,31977,30171,GoldOVW,K113660.001.txt
100,"Goldsmith, Oliver, 1728-1774",http://viaf.org/viaf/100167171,THE VICAR OF WAKEFIELD: A TALE. Supposed to be written by HIMSELF.,1766,,fic,ecc,31362,29556,GoldOVW2,K113660.002.txt
101,"Kelly, Hugh, 1739-1777",http://viaf.org/viaf/14816642,MEMOIRS OF A MAGDALEN: OR THE HISTORY OF LOUISA MILDMAY.,1767,,fic,ecc,33813,31782,KellHMM2,K061209.002.txt
102,"Kelly, Hugh, 1739-1777",http://viaf.org/viaf/14816642,THE BABLER___ CONTAINING A CAREFUL SELECTION FROM THOSE ENTERTAINING and INTERESTING ESSAYS WHICH HAVE GIVEN the PUBLIC so much SATISFACTION under that TITLE DURING A COURSE of FOUR YEARS IN OWEN's WEEKLY CHRONICLE.,1767,,fic,ecc,69213,65168,KellHBC2,K102448.002.txt
103,"Boswell, James, 1740-1795",http://viaf.org/viaf/64002337,DORANDO A SPANISH TALE.,1767,,fic,ecc,6146,5741,BoswJDS,K036921.000.txt
104,"Kelly, Hugh, 1739-1777",http://viaf.org/viaf/14816642,THE BABLER. CONTAINING A CAREFUL SELECTION FROM THOSE ENTERTAINING and INTERESTING ESSAYS. WHICH HAVE GIVEN the PUBLIC so much SATISFACTION under that TITLE DURING A COURSE of FOUR YEARS IN OWEN's WEEKLY CHRONICLE.,1767,,fic,ecc,71941,67206,KellHBC,K102448.001.txt
105,"Sheridan, Frances Chamberlaine, 1724-1766",http://viaf.org/viaf/34502726,THE HISTORY OF NOURJAHAD.,1767,,fic,ecc,26976,25368,SherFHN,K102875.000.txt
106,"Kelly, Hugh, 1739-1777",http://viaf.org/viaf/14816642,MEMOIRS OF A MAGDALEN: OR THE HISTORY OF LOUISA MILDMAY.,1767,,fic,ecc,26598,24843,KellHMM,K061209.001.txt
107,"Sterne, Laurence, 1713-1768",http://viaf.org/viaf/61552699,A SENTIMENTAL JOURNEY THROUGH FRANCE AND ITALY.,1768,,fic,ecc,20972,19119,SterLSJ,K027660.001.txt
