index,author,viaf_author_uri,title,date,gutenberg_id,genre,source
10,"Smollett, Tobias George, 1721-1771",http://viaf.org/viaf/68935985,THE ADVENTURES OF Roderick Random.,1748,4085,fic,ecc
11,"Fielding, Henry, 1707-1754",http://viaf.org/viaf/61545697,THE HISTORY OF TOM JONES A FOUNDLING.,1749,6593,fic,ecc
12,"Lennox, Charlotte, ca. 1729-1804",http://viaf.org/viaf/100288562,THE Female QUIXOTE; OR THE ADVENTURES OF ARABELLA. In TWO VOLUMES. VOL. II.,1752,50054,fic,ecc
13,"Sterne, Laurence, 1713-1768",http://viaf.org/viaf/61552699,A Political Romance Addressed To  Esq OF YORK. To which is subjoined a KEY.,1759,20257,fic,ecc
14,"Sterne, Laurence, 1713-1768",http://viaf.org/viaf/61552699,THE LIFE AND OPINIONS OF TRISTRAM SHANDY GENTLEMAN.,1760,1079,fic,ecc
15,"Hawkesworth, John, 1715?-1773",http://viaf.org/viaf/85970662,EDGAR and EMMELINE: A FAIRY TALE.,1761,14013,fic,ecc
16,"Walpole, Horace, 1717-1797",http://viaf.org/viaf/17231985,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,1764,696,fic,ecc
17,"Goldsmith, Oliver, 1728-1774",http://viaf.org/viaf/100167171,THE VICAR OF WAKEFIELD: A TALE. Supposed to be written by HIMSELF.,1766,2667,fic,ecc
18,"Sterne, Laurence, 1713-1768",http://viaf.org/viaf/61552699,A SENTIMENTAL JOURNEY THROUGH FRANCE AND ITALY.,1768,804,fic,ecc
19,"Burney, Fanny, 1752-1840",http://viaf.org/viaf/95297439,EVELINA; OR A YOUNG LADY's ENTRANCE INTO THE WORLD.,1779,6053,fic,ecc
20,"Wollstonecraft, Mary",http://viaf.org/viaf/51697482,Mary,1788,16357,fic,ncf
21,"Hayley, William, 1745-1820",http://viaf.org/viaf/45100846,THE YOUNG WIDOW; OR THE HISTORY OF CORNELIA SEDLEY IN A SERIES OF LETTERS.,1789,7371,fic,ecc
22,"Trusler, John, 1735-1820",http://viaf.org/viaf/66507465,Proverbs Exemplified AND ILLUSTRATED BY PICTURES FROM REAL LIFE.,1790,22500,fic,ecc
23,"Inchbald, Mrs., 1753-1821",http://viaf.org/viaf/59084053,A SIMPLE STORY. IN FOUR VOLUMES.,1791,22002,fic,ecc
24,"Holcroft, Thomas, 1745-1809",http://viaf.org/viaf/56644486,ANNA ST. IVES: A NOVEL.,1792,9468,fic,ecc
25,"Holcroft, Thomas, 1745-1809",http://viaf.org/viaf/56644486,THE ADVENTURES OF HUGH TREVOR. BY THOMAS HOLCROFT.,1794,9811,fic,ecc
26,"Radcliffe, Ann Ward, 1764-1823",http://viaf.org/viaf/64010774,THE MYSTERIES of UDOLPHO A ROMANCE; INTERSPERSED WITH SOME PIECES OF POETRY.,1794,3268,fic,ecc
27,"Cumberland, Richard, 1732-1811",http://viaf.org/viaf/76451457,HENRY; IN FOUR VOLUMES.,1795,43529,fic,ecc
28,"Hays, Mary",http://viaf.org/viaf/29629662,Memoirs of Emma Courtney,1796,41256,fic,ncf
29,"Lewis, M. G. (Matthew Gregory), 1775-1818",http://viaf.org/viaf/100160188,THE MONK: A ROMANCE.,1796,601,fic,ecc
30,"Burney, Fanny",http://viaf.org/viaf/95297439,Camilla,1796,40619,fic,ncf
31,"Brown, Charles Brockden, 1771-1810",http://viaf.org/viaf/49222478,WIELAND; OR THE TRANSFORMATION.,1798,792,fic,ecc
32,"Godwin, William",http://viaf.org/viaf/68929729,St. Leon,1799,53707,fic,ncf
33,"Hays, Mary",http://viaf.org/viaf/29629662,Victim of prejudice,1799,1424,fic,ncf
34,"Brown, Charles Brockden, 1771-1810",http://viaf.org/viaf/49222478,ARTHUR MERVYN; OR MEMOIRS OF THE YEAR 1793.,1799,18508,fic,ecc
35,"Brown, Charles Brockden, 1771-1810",http://viaf.org/viaf/49222478,ORMOND; OR THE SECRET WITNESS.,1800,36289,fic,ecc
36,"Opie, Amelia Alderson",http://viaf.org/viaf/39410771,Adeline Mowbray,1805,37908,fic,19b
37,"Dacre, Charlotte",http://viaf.org/viaf/23386022,Zofloya,1806,45787,fic,19b
38,"Edgeworth, Maria",http://viaf.org/viaf/71477273,Leonora (Volume 1/2),1806,35638,fic,19b
39,"Morgan, Lady (Sydney)",http://viaf.org/viaf/107533016,Wild Irish girl,1807,54683,fic,19b
40,"More, Hannah",http://viaf.org/viaf/51802053,Coelebs in search of a wife,1809,31879,fic,19b
41,"Austen, Jane",http://viaf.org/viaf/102333412,Lady Susan,1810,946,fic,ncf
42,"Porter, Jane",http://viaf.org/viaf/84690525,Scottish chiefs,1810,6086,fic,ncf
43,"Brunton, Mary",http://viaf.org/viaf/34532515,Self-control,1811,41196,fic,ncf
44,"Austen, Jane",http://viaf.org/viaf/102333412,Sense and sensibility,1811,161,fic,ncf
45,"Edgeworth, Maria",http://viaf.org/viaf/71477273,The absentee,1812,1473,fic,ncf
46,"Austen, Jane",http://viaf.org/viaf/102333412,Pride and prejudice,1813,1342,fic,ncf
47,"Barrett, Eaton Stannard",http://viaf.org/viaf/13033207,The Heroine,1814,43065,fic,ncf
48,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,Waverley,1814,45697,fic,ncf
49,"Austen, Jane",http://viaf.org/viaf/102333412,Mansfield Park,1814,141,fic,ncf
50,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,Guy Mannering,1815,2590,fic,ncf
51,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,Black dwarf,1816,1460,fic,ncf
52,"Austen, Jane",http://viaf.org/viaf/102333412,Emma,1816,158,fic,ncf
53,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,Antiquary,1816,7005,fic,19b
54,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,Old mortality,1816,6941,fic,ncf
55,"Beckford, William",http://viaf.org/viaf/4926466,"Vathek, an Arabian tale",1816,42401,fic,ncf
56,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,Rob Roy,1817,16828,fic,ncf
57,"Austen, Jane",http://viaf.org/viaf/102333412,Northanger Abbey,1818,121,fic,ncf
58,"Ferrier, Susan",http://viaf.org/viaf/64052998,Marriage,1818,12669,fic,ncf
59,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,Heart of Mid-Lothian,1818,6942,fic,ncf
60,"Peacock, Thomas Love",http://viaf.org/viaf/17239611,Nightmare Abbey,1818,9909,fic,ncf
61,"Shelley, Mary Wollstonecraft",http://viaf.org/viaf/6293,Frankenstein,1818,6542,fic,ncf
62,"Austen, Jane",http://viaf.org/viaf/102333412,Persuasion,1818,105,fic,ncf
63,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,A legend of Montrose,1819,1461,fic,ncf
64,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,Ivanhoe,1819,26564,fic,ncf
65,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,Bride of Lammermoor,1819,471,fic,ncf
66,"Polidori, John William",http://viaf.org/viaf/32079702,The vampyre : a tale,1819,6087,fic,19b
67,"Maturin, Charles Robert",http://viaf.org/viaf/100248595,Melmoth the wanderer,1820,53685;53686;53687;53688,fic,ncf
68,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,The Abbot (Vol. 2/3),1820,6407,fic,19b
69,"Galt, John",http://viaf.org/viaf/61562976,Annals of the parish,1821,1310,fic,ncf
70,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,Kenilworth,1821,1606,fic,ncf
71,"Galt, John",http://viaf.org/viaf/61562976,The Ayrshire legatees,1821,1384,fic,ncf
72,"Badcock, John",http://viaf.org/viaf/37970367,"Real Life In London, Volumes I. and II. Or, The Rambles And Adventures Of Bob Tallyho, Esq., And His Cousin, The Hon. Tom Dashall, Through The Metropolis; Exhibiting A Living Picture Of Fashionable Characters, Manners, And Amusements In High And Low Life (1821)",1821,20484,fic,19b
73,"Galt, John",http://viaf.org/viaf/61562976,The provost,1822,1296,fic,ncf
74,"Irving, Washington",http://viaf.org/viaf/295999941,"Bracebridge Hall, or, The humorists : a medley (Vol. 2/2)",1822,13515,fic,19b
75,"Galt, John",http://viaf.org/viaf/61562976,The spaewife; a tale of the Scottish chronicles (Vol. 2/3),1823,14681,fic,19b
76,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,Quentin Durward,1823,7853,fic,ncf
77,"Galt, John",http://viaf.org/viaf/61562976,The entail,1823,44573,fic,ncf
78,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,St. Ronan's well,1824,20749,fic,ncf
79,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,Redgauntlet,1824,2516,fic,ncf
80,"Edgeworth, Maria",http://viaf.org/viaf/71477273,Harry and Lucy concluded : being the last part of early lessons (Vol. 1/4),1825,9455,fic,19b
81,"Disraeli, Benjamin",http://viaf.org/viaf/49233448,Vivian Grey,1826,9840,fic,ncf
82,"Shelley, Mary Wollstonecraft",http://viaf.org/viaf/6293,Last Man,1826,18247,fic,ncf
83,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,"Woodstock : or, The cavalier; A tale of the year sixteen hundred and fifty-one (Vol. 1/3)",1826,9785,fic,19b
84,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,Chronicles of the Canongate. Second series (Vol. 1/3),1828,1828,fic,19b
85,"Lytton, Edward Bulwer Lytton",http://viaf.org/viaf/99871326,Pelham,1828,7623,fic,ncf
86,"Scott, Walter, Sir",http://viaf.org/viaf/95207079,Chronicles of the Canongate. Second series (Vol. 3/3),1828,1828,fic,19b
87,"Peacock, Thomas Love",http://viaf.org/viaf/17239611,Crotchet Castle,1831,2075,fic,ncf
88,"Godwin, William",http://viaf.org/viaf/68929729,St. Leon : a tale of the sixteenth century,1831,53707,fic,19b
89,"Shelley, Mary Wollstonecraft",http://viaf.org/viaf/6293,Frankenstein (revised),1831,6542,fic,ncf
90,"Cooper, James Fenimore",http://viaf.org/viaf/27062769,The bravo : a tale (Vol. 1/2),1831,10363,fic,19b
91,"Lytton, Edward Bulwer Lytton",http://viaf.org/viaf/99871326,Eugene Aram,1832,7614,fic,19b
92,"Lytton, Edward Bulwer Lytton, Baron",http://viaf.org/viaf/99871326,The last days of Pompeii (Vol. 1/3),1834,1565,fic,19b
93,"Marryat, Frederick",http://viaf.org/viaf/39380934,Peter Simple,1834,21577,fic,ncf
94,"Lytton, Edward Bulwer Lytton, Baron",http://viaf.org/viaf/99871326,The last days of Pompeii (Vol. 3/3),1834,1565,fic,19b
95,"Ainsworth, William Harrison",http://viaf.org/viaf/46894596,Rookwood (Vol. 1/3),1834,23564,fic,19b
96,"Dickens, Charles",http://viaf.org/viaf/88666393,Pickwick Papers,1837,580,fic,19b
97,"Trollope, Frances Milton",http://viaf.org/viaf/34551336,Vicar of Wrexhill,1837,36686,fic,ncf
98,"Dickens, Charles",http://viaf.org/viaf/88666393,Oliver Twist,1838,730,fic,19b
99,"Taylor, Meadows",http://viaf.org/viaf/27100030,Confessions of a thug,1839,44881,fic,19b
100,"Dickens, Charles",http://viaf.org/viaf/88666393,Nicholas Nickleby,1839,967,fic,ncf
101,"Thackeray, William Makepeace",http://viaf.org/viaf/95208604,Catherine,1839,1969,fic,ncf
102,"Ainsworth, William Harrison",http://viaf.org/viaf/46894596,Jack Sheppard,1839,16215,fic,ncf
103,"Dickens, Charles",http://viaf.org/viaf/88666393,Barnaby Rudge,1840,9732,fic,19b
104,"Ainsworth, William Harrison",http://viaf.org/viaf/46894596,"The Tower of London, a historical romance",1840,49850,fic,19b
105,"Marryat, Frederick",http://viaf.org/viaf/39380934,Poor Jack,1840,21575,fic,19b
106,"Dickens, Charles",http://viaf.org/viaf/88666393,The old curiosity shop,1840,700,fic,ncf
107,"Lever, Charles James",http://viaf.org/viaf/32083550,"Charles O'Malley, the Irish dragoon (Vol. 2/2)",1841,8577,fic,19b
108,"Dickens, Charles",http://viaf.org/viaf/88666393,A Christmas carol,1843,19337,fic,19b
109,"Disraeli, Benjamin",http://viaf.org/viaf/49233448,Coningsby,1844,7412,fic,ncf
110,"Lever, Charles",http://viaf.org/viaf/32083550,Tom Burke Of ours,1844,31901,fic,ncf
111,"Dickens, Charles",http://viaf.org/viaf/88666393,Martin Chuzzlewit,1844,968,fic,19b
112,"Lever, Charles James",http://viaf.org/viaf/32083550,St. Patrick's Eve,1845,32083,fic,19b
113,"Disraeli, Benjamin",http://viaf.org/viaf/49233448,Sybil,1845,3760,fic,ncf
114,"Melville, Herman",http://viaf.org/viaf/27068555,Typee : a peep at Polynesian life. During a four months' residence in a valley of the Marquesas,1846,1900,fic,19b
115,"Melville, Herman",http://viaf.org/viaf/27068555,Omoo: a narrative of adventures in the South Seas,1847,4045,fic,19b
116,"Dickens, Charles",http://viaf.org/viaf/88666393,Dombey and Son,1848,821,fic,ncf
117,"Newman, John Henry",http://viaf.org/viaf/17227308,Loss and gain,1848,24574,fic,ncf
118,"Thackeray, William Makepeace",http://viaf.org/viaf/95208604,Vanity Fair,1848,599,fic,19b
119,"Gaskell, Elizabeth Cleghorn",http://viaf.org/viaf/39377536,Mary Barton,1849,2153,fic,ncf
120,"Thackeray, William Makepeace",http://viaf.org/viaf/95208604,"The history of Pendennis. His fortunes and misfortunes, his friends and his greatest enemy (Vol. 1/2)",1849,7265,fic,19b
121,"Thackeray, William Makepeace",http://viaf.org/viaf/95208604,Pendennis,1849,7265,fic,ncf
122,"Kingsley, Charles",http://viaf.org/viaf/27081838,Alton Locke,1850,8374,fic,ncf
123,"Thackeray, William Makepeace",http://viaf.org/viaf/95208604,Rebecca and Rowena,1850,2675_excerpt,fic,ncf
124,"Lever, Charles James",http://viaf.org/viaf/32083550,Roland Cashel,1850,33468;33469,fic,19b
125,"Dickens, Charles",http://viaf.org/viaf/88666393,David Copperfield,1850,766,fic,ncf
126,"Borrow, George Henry",http://viaf.org/viaf/49240695,Lavengro,1851,20198,fic,ncf
127,"Thackeray, William Makepeace",http://viaf.org/viaf/95208604,Henry Esmond,1852,2511,fic,ncf
128,"Eastman, Mary Henderson",http://viaf.org/viaf/316763066,"Aunt Phillis's Cabin: Or, Southern Life As It Is",1852,16741,fic,19b
129,"Stowe, Harriet Beecher",http://viaf.org/viaf/32003151,"Uncle Tom's cabin or, Life among the lowly (Vol. 1/2)",1852,203,fic,19b
130,"Yonge, Charlotte Mary",http://viaf.org/viaf/71399881,Heir of Redclyffe,1853,2505,fic,ncf
131,"Bronte, Charlotte",http://viaf.org/viaf/71388025,Villette,1853,9182,fic,ncf
132,"Dickens, Charles",http://viaf.org/viaf/88666393,Bleak House,1853,1023,fic,ncf
133,"Gaskell, Elizabeth Cleghorn",http://viaf.org/viaf/39377536,Ruth,1853,4275,fic,ncf
134,"Thackeray, William Makepeace",http://viaf.org/viaf/95208604,Newcomes,1854,7467,fic,ncf
135,"Dickens, Charles",http://viaf.org/viaf/88666393,Hard times,1854,786,fic,ncf
136,"Trollope, Anthony",http://viaf.org/viaf/61683295,Warden,1855,619,fic,ncf
137,"Gaskell, Elizabeth Cleghorn",http://viaf.org/viaf/39377536,North and south,1855,4276,fic,ncf
138,"Thackeray, William Makepeace",http://viaf.org/viaf/95208604,Barry Lyndon,1856,4558,fic,ncf
139,"Yonge, Charlotte Mary",http://viaf.org/viaf/71399881,Daisy chain,1856,3610,fic,ncf
140,"Trollope, Anthony",http://viaf.org/viaf/61683295,Barchester Towers,1857,3409,fic,ncf
141,"Hughes, Thomas",http://viaf.org/viaf/41888346,Tom Brown's school days,1857,1480,fic,ncf
142,"Bronte, Charlotte",http://viaf.org/viaf/71388025,The professor,1857,1028,fic,ncf
143,"Dickens, Charles",http://viaf.org/viaf/88666393,Little Dorrit,1857,963,fic,ncf
144,"Farrar, Frederic William",http://viaf.org/viaf/72172918,"Eric, or Little by Little",1858,23126,fic,ncf
145,"Trollope, Anthony",http://viaf.org/viaf/61683295,Three clerks,1858,7481,fic,ncf
146,"Trollope, Anthony",http://viaf.org/viaf/61683295,Doctor Thorne,1858,3166,fic,ncf
147,"Ballantyne, R. M.",http://viaf.org/viaf/64050447,The Coral Island,1858,646,fic,ncf
148,"Eliot, George",http://viaf.org/viaf/89000553,Scenes of clerical life,1858,17780,fic,ncf
149,"Thackeray, William Makepeace",http://viaf.org/viaf/95208604,The Virginians,1858,8123,fic,ncf
150,"Dickens, Charles",http://viaf.org/viaf/88666393,A tale of two cities,1859,98,fic,ncf
151,"Meredith, George",http://viaf.org/viaf/14773801,Ordeal of Richard Feverel,1859,4412,fic,ncf
152,"Eliot, George",http://viaf.org/viaf/89000553,Adam Bede,1859,507,fic,ncf
153,"Collins, Wilkie",http://viaf.org/viaf/95173526,The woman in white,1860,2002,fic,ncf
154,"Eliot, George",http://viaf.org/viaf/89000553,The mill on the floss,1860,6688,fic,ncf
155,"Trollope, Anthony",http://viaf.org/viaf/61683295,Framley Parsonage,1861,2860,fic,ncf
156,"Meredith, George",http://viaf.org/viaf/14773801,Evan Harrington,1861,4434,fic,ncf
157,"Eliot, George",http://viaf.org/viaf/89000553,Silas Marner,1861,550,fic,ncf
158,"Reade, Charles",http://viaf.org/viaf/44314913,Cloister and hearth,1861,1366,fic,ncf
159,"Dickens, Charles",http://viaf.org/viaf/88666393,Great expectations,1861,1400,fic,ncf
160,"Wood, Henry, Mrs.",http://viaf.org/viaf/14898332,East Lynne,1861,3322,fic,ncf
161,"Braddon, M. E.",http://viaf.org/viaf/66826682,Lady Audley's secret,1862,8954,fic,ncf
162,"Collins, Wilkie",http://viaf.org/viaf/95173526,No name,1862,1438,fic,ncf
163,"Kingsley, Charles",http://viaf.org/viaf/27081838,Water-babies,1863,1018,fic,ncf
164,"Gaskell, Elizabeth Cleghorn",http://viaf.org/viaf/39377536,Sylvia's lovers,1863,4537,fic,ncf
165,"Reade, Charles",http://viaf.org/viaf/44314913,Hard cash,1863,3067,fic,ncf
166,"Eliot, George",http://viaf.org/viaf/89000553,Romola,1863,24020,fic,ncf
167,"Oliphant, Mrs. (Margaret)",http://viaf.org/viaf/49256072,Salem Chapel,1863,42013;42044,fic,ncf
168,"Le Fanu, Joseph Sheridan",http://viaf.org/viaf/9849196,Uncle Silas,1864,14851,fic,ncf
169,"Trollope, Anthony",http://viaf.org/viaf/61683295,Can you forgive her?,1864,19500,fic,ncf
170,"Charles, Elizabeth Rundle",http://viaf.org/viaf/95236972,Chronicles of the Schonberg-Cotta family,1864,36433,fic,ncf
171,"Trollope, Anthony",http://viaf.org/viaf/61683295,Small house at Allington,1864,4599,fic,ncf
172,"Dickens, Charles",http://viaf.org/viaf/88666393,Our mutual friend,1865,883,fic,ncf
173,"Lever, Charles James",http://viaf.org/viaf/32083550,Luttrell Of Arran,1865,35717,fic,19b
174,"Carroll, Lewis",http://viaf.org/viaf/66462036,Alice's adventures in Wonderland,1866,11,fic,ncf
175,"Eliot, George",http://viaf.org/viaf/89000553,Felix Holt,1866,40882,fic,ncf
176,"Collins, Wilkie",http://viaf.org/viaf/95173526,Armadale,1866,1895,fic,ncf
177,"Kingsley, Charles",http://viaf.org/viaf/27081838,Hereward the wake,1866,7815,fic,ncf
178,"Gaskell, Elizabeth Cleghorn",http://viaf.org/viaf/39377536,Wives and daughters,1866,4274,fic,ncf
179,"Trollope, Anthony",http://viaf.org/viaf/61683295,Last chronicle of Barset,1867,3045,fic,ncf
180,Ouida,http://viaf.org/viaf/34490941,Under two flags,1867,3465,fic,ncf
181,"Collins, Wilkie",http://viaf.org/viaf/95173526,The moonstone,1868,155,fic,ncf
182,"Blackmore, R. D.",http://viaf.org/viaf/59105182,Lorna Doone,1869,17460,fic,ncf
183,"Burton, Richard Francis, Sir",http://viaf.org/viaf/29832058,"Vikram and the vampire; or, Tales of Hindu devilry",1870,48511,fic,19b
184,"Alcott, Louisa May",http://viaf.org/viaf/29528997,An old-fashioned girl,1870,2787,fic,19b
185,"Dickens, Charles",http://viaf.org/viaf/88666393,The mystery of Edwin Drood,1870,564,fic,ncf
186,"Disraeli, Benjamin",http://viaf.org/viaf/49233448,Lothair,1870,7835,fic,ncf
187,"Collins, Wilkie",http://viaf.org/viaf/95173526,Man and wife,1870,1586,fic,ncf
188,"MacDonald, George",http://viaf.org/viaf/64008667,At the back of the north wind,1871,225,fic,ncf
189,"Lytton, Edward Bulwer Lytton",http://viaf.org/viaf/99871326,Coming race,1871,1951,fic,ncf
190,"Hardy, Thomas",http://viaf.org/viaf/54148778,Under the greenwood tree,1872,9437,fic,ncf
191,"MacDonald, George",http://viaf.org/viaf/64008667,Princess and  goblin,1872,708,fic,ncf
192,"Carroll, Lewis",http://viaf.org/viaf/66462036,Through the looking-glass,1872,12,fic,ncf
193,"Butler, Samuel",http://viaf.org/viaf/49578292,Erewhon,1872,1906,fic,ncf
194,"Trollope, Anthony",http://viaf.org/viaf/61683295,The Eustace diamonds,1873,7381,fic,ncf
195,"Hardy, Thomas",http://viaf.org/viaf/54148778,A pair of blue eyes,1873,224,fic,ncf
196,"Eliot, George",http://viaf.org/viaf/89000553,Middlemarch,1874,145,fic,ncf
197,"Hardy, Thomas",http://viaf.org/viaf/54148778,Far from the madding crowd,1874,27,fic,ncf
198,"Trollope, Anthony",http://viaf.org/viaf/61683295,Phineas Redux,1874,18640,fic,ncf
199,"Trollope, Anthony",http://viaf.org/viaf/61683295,The way we live now,1875,5231,fic,ncf
200,"Eliot, George",http://viaf.org/viaf/89000553,Daniel Deronda,1876,7469,fic,ncf
201,"Trollope, Anthony",http://viaf.org/viaf/61683295,Prime Minister,1876,2158,fic,ncf
202,"Meredith, George",http://viaf.org/viaf/14773801,Beauchamp's career,1876,4460,fic,ncf
203,"Sewell, Anna",http://viaf.org/viaf/5052475,Black beauty,1877,271,fic,ncf
204,"Russell, William Clark",http://viaf.org/viaf/33053756,The wreck of the Grosvenor,1878,44497; 44498; 44499,fic,ncf
205,"Hardy, Thomas",http://viaf.org/viaf/54148778,Return of native,1878,122,fic,ncf
206,"Meredith, George",http://viaf.org/viaf/14773801,Egoist,1879,1684,fic,ncf
207,"Eliot, George",http://viaf.org/viaf/89000553,Impressions of Theophrastus Such,1879,10762,fic,19b
208,"Twain, Mark",http://viaf.org/viaf/50566653,A Tramp Abroad,1880,119,fic,19b
209,"Disraeli, Benjamin, Earl of Beaconsfield",http://viaf.org/viaf/49233448,Endymion (Vol. 1/3),1880,7926,fic,19b
210,"Trollope, Anthony",http://viaf.org/viaf/61683295,Duke's children,1880,3622,fic,ncf
211,"Hardy, Thomas",http://viaf.org/viaf/54148778,Trumpet-major,1880,2864,fic,ncf
212,"White, William Hale",http://viaf.org/viaf/79398669,Autobiography of Mark Rutherford,1881,3269,fic,ncf
213,"Jefferies, Richard",http://viaf.org/viaf/59140022,Bevis,1882,35930,fic,ncf
214,"Schreiner, Olive",http://viaf.org/viaf/29554433,Story of an African farm,1883,1441,fic,ncf
215,"Stevenson, Robert Louis",http://viaf.org/viaf/95207986,Treasure Island,1883,120,fic,ncf
216,"Ewing, Juliana Horatia Gatty",http://viaf.org/viaf/13120498,Jackanapes,1884,20351,fic,19b
217,"Jewett, Sarah Orne",http://viaf.org/viaf/44336104,A country doctor,1884,15294,fic,19b
218,"Howells, William Dean",http://viaf.org/viaf/95191935,The rise of Silas Lapham,1884,154,fic,19b
219,"Murfree, Mary Noailles",http://viaf.org/viaf/16014354,The prophet of the Great Smoky Mountains,1885,35619,fic,19b
220,"Meredith, George",http://viaf.org/viaf/14773801,Diana of the crossways,1885,4470,fic,ncf
221,"Pater, Walter",http://viaf.org/viaf/19689601,"Marius, the Epicurean : his sensations and ideas (Vol. 1/2)",1885,4057; 4058,fic,19b
222,"Haggard, H. Rider",http://viaf.org/viaf/9841446,King Solomon's mines,1885,2166,fic,ncf
223,"Burnett, Frances Hodgson",http://viaf.org/viaf/27061925,Little Lord Fauntleroy,1886,479,fic,ncf
224,"Stevenson, Robert Louis",http://viaf.org/viaf/95207986,Strange case of Dr Jekyll and Mr Hyde,1886,26247,fic,ncf
225,"Stevenson, Robert Louis",http://viaf.org/viaf/95207986,Kidnapped,1886,421,fic,ncf
226,"James, Henry",http://viaf.org/viaf/36920030,The Bostonians,1886,19717;19718,fic,19b
227,"Crawford, Francis Marion",http://viaf.org/viaf/4958780,A tale of a lonely parish,1886,13597,fic,19b
228,"Hardy, Thomas",http://viaf.org/viaf/54148778,Mayor of Casterbridge,1886,143,fic,ncf
229,"Haggard, H. Rider",http://viaf.org/viaf/9841446,She,1887,3155,fic,ncf
230,"Pater, Walter",http://viaf.org/viaf/19689601,Imaginary portraits,1887,4038,fic,19b
231,"Hardy, Thomas",http://viaf.org/viaf/54148778,Woodlanders,1887,482,fic,ncf
232,"Ward, Humphry, Mrs.",http://viaf.org/viaf/27084321,Robert Elsmere,1888,8737,fic,ncf
233,"Stevenson, Robert Louis",http://viaf.org/viaf/95207986,Master of Ballantrae,1889,864,fic,ncf
234,"Gissing, George",http://viaf.org/viaf/59083174,Nether world,1889,4301,fic,ncf
235,"Doyle, Arthur Conan",http://viaf.org/viaf/65283845,The sign of four,1890,2097,fic,ncf
236,"Meredith, George",http://viaf.org/viaf/14773801,One of our conquerors,1891,4476,fic,ncf
